Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
30	-1193.24	-1177.441	-15.79973	2.389026	0.00556843	0.0130313	0.0149478	0.0106417	0.00511657	0.00699483	1.50799	3.52901	4.04804	2.88188	1.38563	1.89428	0.00735805	1.99264	0.0607668	16.4563	0.756781	1.77102	2.03149	1.44626	0.695371	0.950636	2.38903	2.38903	0.00970279	0.062799	0.0113001	0.0234427	0.0762197	0.00970279	0.128934	0.0956582	0.0714207	0.00339263	0.062799	0.128934	0.29761	0.06099	0.0471024	0.0113001	0.0956582	0.29761	0.0860074	0.032045	0.0234427	0.0714207	0.06099	0.0860074	0.0451518	0.0762197	0.00339263	0.0471024	0.032045	0.0451518	4.15234
31	-1192.105	-1175.454	-16.65045	2.202514	0.00173501	0.00345948	0.00423964	0.00335377	0.00145121	0.00256049	1.66098	3.31188	4.05874	3.21068	1.38929	2.45125	0.00208696	1.99791	0.0323198	30.9408	0.831357	1.65767	2.03149	1.60701	0.695371	1.2269	2.20251	2.20251	0.008932	0.0757966	0.0131951	0.0289189	0.0745571	0.008932	0.123904	0.108637	0.0879368	0.00339263	0.0757966	0.123904	0.280162	0.06099	0.0471024	0.0131951	0.108637	0.280162	0.0860074	0.0527351	0.0289189	0.0879368	0.06099	0.0860074	0.0614826	0.0745571	0.00339263	0.0471024	0.0527351	0.0614826	5.088403
32	-1191.243	-1173.076	-18.16717	2.270293	0.00216761	0.00345948	0.00381998	0.00329227	0.00192488	0.00273066	2.07513	3.31188	3.65699	3.1518	1.84275	2.61415	0.00208696	1.99791	0.0323198	30.9408	1.03865	1.65767	1.83041	1.57755	0.922339	1.30844	2.27029	2.27029	0.00922768	0.0811067	0.0126227	0.0248688	0.088735	0.00922768	0.116168	0.108637	0.101289	0.00412512	0.0811067	0.116168	0.291348	0.0677586	0.0616268	0.0126227	0.108637	0.291348	0.109075	0.0468761	0.0248688	0.101289	0.0677586	0.109075	0.0410464	0.088735	0.00412512	0.0616268	0.0468761	0.0410464	5.088403
33	-1187.2	-1171.496	-15.70307	2.270293	0.00793716	0.0137697	0.0177897	0.0144768	0.00790337	0.00975449	1.7219	2.98721	3.85932	3.14062	1.71457	2.11615	0.00917678	1.99082	0.0678936	14.7289	0.864917	1.50049	1.93855	1.57755	0.861235	1.06295	2.27029	2.27029	0.0113781	0.0818294	0.0123985	0.0194586	0.114424	0.0113781	0.121069	0.1224	0.0858686	0.00393641	0.0818294	0.121069	0.291348	0.0672402	0.060626	0.0123985	0.1224	0.291348	0.0878189	0.0359556	0.0194586	0.0858686	0.0672402	0.0878189	0.0379791	0.114424	0.00393641	0.060626	0.0359556	0.0379791	3.987923
34	-1185.162	-1168.659	-16.50315	2.323749	0.0040565	0.00666734	0.00861386	0.00700975	0.00330877	0.0056981	1.82178	2.99431	3.86849	3.14809	1.48597	2.55902	0.00444344	1.99556	0.0471876	21.192	0.912918	1.50049	1.93855	1.57755	0.744641	1.28236	2.32375	2.32375	0.0105459	0.0595395	0.0138824	0.0225594	0.110938	0.0105459	0.106044	0.122584	0.0734258	0.00268717	0.0595395	0.106044	0.285022	0.0683336	0.0633515	0.0138824	0.122584	0.285022	0.0834884	0.0291256	0.0225594	0.0734258	0.0683336	0.0834884	0.0254471	0.110938	0.00268717	0.0633515	0.0291256	0.0254471	4.52731
35	-1186.933	-1170.085	-16.84815	2.323749	0.00303886	0.00700027	0.00842156	0.00700975	0.00310865	0.00700494	1.36475	3.14383	3.78214	3.14809	1.3961	3.14593	0.00444344	1.99556	0.0471876	21.192	0.683897	1.57542	1.89528	1.57755	0.699604	1.57647	2.32375	2.32375	0.00792058	0.0726187	0.012263	0.0335191	0.0901597	0.00792058	0.102656	0.10742	0.0869183	0.00287623	0.0726187	0.102656	0.308978	0.116186	0.0487614	0.012263	0.10742	0.308978	0.0849698	0.0300682	0.0335191	0.0869183	0.116186	0.0849698	0.023018	0.0901597	0.00287623	0.0487614	0.0300682	0.023018	4.52731
36	-1193.359	-1178.702	-14.65718	2.323749	0.0196723	0.0244046	0.0368807	0.0269875	0.0112794	0.0221965	2.2802	2.82873	4.27483	3.12811	1.30739	2.57278	0.0171072	1.98289	0.0928839	10.7661	1.14994	1.42657	2.15585	1.57755	0.659337	1.29749	2.32375	2.32375	0.00659622	0.0673047	0.0131655	0.0368863	0.0800084	0.00659622	0.102656	0.0967728	0.0882432	0.00502808	0.0673047	0.102656	0.273216	0.100583	0.0479495	0.0131655	0.0967728	0.273216	0.0778829	0.0300682	0.0368863	0.0882432	0.100583	0.0778829	0.0150754	0.0800084	0.00502808	0.0479495	0.0300682	0.0150754	3.523264
37	-1190.905	-1173.971	-16.93319	2.13765	0.000792254	0.00127923	0.00184736	0.00126165	0.000694403	0.00135194	1.8154	2.93127	4.2331	2.891	1.59118	3.09789	0.000872433	1.99913	0.0208904	47.869	0.908096	1.46627	2.11747	1.44613	0.795938	1.54962	2.13765	2.13765	0.00704472	0.064514	0.0131655	0.038128	0.0662888	0.00704472	0.109502	0.0859689	0.0792621	0.00585127	0.064514	0.109502	0.300982	0.10224	0.064618	0.0131655	0.0859689	0.300982	0.0724507	0.0284651	0.038128	0.0792621	0.10224	0.0724507	0.0200426	0.0662888	0.00585127	0.064618	0.0284651	0.0200426	5.735399
38	-1189.126	-1171.313	-17.81276	2.217653	0.000521201	0.00107288	0.00154936	0.00105813	0.000603236	0.00118288	1.42411	2.93148	4.2334	2.8912	1.64825	3.23206	0.000731702	1.99927	0.0191307	52.2719	0.712314	1.46627	2.11747	1.44613	0.824429	1.61662	2.21765	2.21765	0.00801245	0.0719447	0.00922857	0.0389923	0.0544611	0.00801245	0.109502	0.10661	0.0921661	0.00745762	0.0719447	0.109502	0.292844	0.0767587	0.0667947	0.00922857	0.10661	0.292844	0.0954549	0.0183321	0.0389923	0.0921661	0.0767587	0.0954549	0.021221	0.0544611	0.00745762	0.0667947	0.0183321	0.021221	5.865856
39	-1189.035	-1167.765	-21.26927	2.606365	0.000611022	0.00116738	0.00154936	0.0011427	0.000446372	0.000791865	1.66953	3.1897	4.2334	3.12225	1.21965	2.16366	0.000731702	1.99927	0.0191307	52.2719	0.83507	1.59543	2.11747	1.5617	0.610047	1.08222	2.60637	2.60637	0.00535048	0.0793632	0.00666464	0.0492346	0.0478054	0.00535048	0.108868	0.108286	0.0852558	0.00699221	0.0793632	0.108868	0.310031	0.0700029	0.0667947	0.00666464	0.108286	0.310031	0.123375	0.0141303	0.0492346	0.0852558	0.0700029	0.123375	0.0241704	0.0478054	0.00699221	0.0667947	0.0141303	0.0241704	5.865856
40	-1189.43	-1168.917	-20.51381	2.475045	0.000611022	0.00114363	0.00154936	0.00120667	0.000633373	0.00093198	1.66953	3.12481	4.2334	3.29705	1.7306	2.5465	0.000731702	1.99927	0.0191307	52.2719	0.83507	1.56298	2.11747	1.64913	0.865616	1.27372	2.47505	2.47505	0.00307587	0.0515127	0.00666464	0.0456673	0.0438342	0.00307587	0.108868	0.101366	0.109748	0.00672344	0.0515127	0.108868	0.3139	0.0700029	0.071081	0.00666464	0.101366	0.3139	0.126882	0.0120489	0.0456673	0.109748	0.0700029	0.126882	0.0220086	0.0438342	0.00672344	0.071081	0.0120489	0.0220086	5.865856
41	-1188.055	-1169.035	-19.01972	2.537741	0.00340071	0.00621681	0.00842234	0.00677273	0.00344302	0.00417218	1.70655	3.11974	4.22653	3.39871	1.72779	2.0937	0.00397754	1.99602	0.04464	22.4014	0.854978	1.56298	2.11747	1.70274	0.865616	1.04893	2.53774	2.53774	0.0030478	0.0559975	0.00956217	0.0635007	0.0588519	0.0030478	0.113227	0.0951849	0.103819	0.0070295	0.0559975	0.113227	0.306654	0.0713455	0.0682459	0.00956217	0.0951849	0.306654	0.114619	0.0136836	0.0635007	0.103819	0.0713455	0.114619	0.0316403	0.0588519	0.0070295	0.0682459	0.0136836	0.0316403	4.609594
42	-1190.795	-1173.7	-17.09467	2.297328	0.00501836	0.00648293	0.00842234	0.00677273	0.0028921	0.00413467	2.51833	3.25328	4.22653	3.39871	1.45132	2.07487	0.00397754	1.99602	0.04464	22.4014	1.26167	1.62988	2.11747	1.70274	0.727107	1.0395	2.29733	2.29733	0.00290222	0.0559975	0.00792354	0.0812863	0.0543265	0.00290222	0.113186	0.1037	0.0921412	0.00685005	0.0559975	0.113186	0.295812	0.0713455	0.0718755	0.00792354	0.1037	0.295812	0.122045	0.0119346	0.0812863	0.0921412	0.0713455	0.122045	0.0248008	0.0543265	0.00685005	0.0718755	0.0119346	0.0248008	4.609594
43	-1190.815	-1172.307	-18.50803	2.360444	0.00249761	0.00445067	0.00581192	0.00483402	0.00299518	0.00295111	1.75702	3.13097	4.08859	3.40065	2.10706	2.07606	0.00283896	1.99716	0.0377028	26.5233	0.879761	1.56771	2.0472	1.70274	1.05503	1.0395	2.36044	2.36044	0.00226908	0.0547972	0.00566059	0.0798754	0.0577087	0.00226908	0.113186	0.0904941	0.106084	0.00452237	0.0547972	0.113186	0.339925	0.0808565	0.0750014	0.00566059	0.0904941	0.339925	0.122045	0.012093	0.0798754	0.106084	0.0808565	0.122045	0.0248008	0.0577087	0.00452237	0.0750014	0.012093	0.0248008	4.860003
44	-1190.878	-1173.218	-17.66056	2.35651	0.00421699	0.00751457	0.00981292	0.00816182	0.00506218	0.00498269	1.75531	3.12791	4.08459	3.39733	2.10711	2.07402	0.00479333	1.99521	0.0490145	20.4021	0.879761	1.56771	2.0472	1.70274	1.05609	1.0395	2.35651	2.35651	0.00258971	0.059916	0.00579	0.0894155	0.0501616	0.00258971	0.113178	0.106414	0.10996	0.00327557	0.059916	0.113178	0.339925	0.0714736	0.0659329	0.00579	0.106414	0.339925	0.101865	0.010825	0.0894155	0.10996	0.0714736	0.101865	0.0215779	0.0501616	0.00327557	0.0659329	0.010825	0.0215779	4.470992
45	-1188.131	-1171.139	-16.99144	2.35651	0.004723	0.00768741	0.00981292	0.00816182	0.00415717	0.00534803	1.96593	3.19986	4.08459	3.39733	1.7304	2.22609	0.00479333	1.99521	0.0490145	20.4021	0.985327	1.60377	2.0472	1.70274	0.867281	1.11572	2.35651	2.35651	0.00187838	0.053021	0.00746433	0.0792002	0.0636915	0.00187838	0.113178	0.0920777	0.122581	0.00288972	0.053021	0.113178	0.268553	0.0796937	0.0566986	0.00746433	0.0920777	0.268553	0.102115	0.010825	0.0792002	0.122581	0.0796937	0.102115	0.0232144	0.0636915	0.00288972	0.0566986	0.010825	0.0232144	4.470992
46	-1196.185	-1178.209	-17.97619	2.399705	0.00300669	0.00768741	0.00981292	0.00810785	0.00484988	0.00714382	1.25152	3.19986	4.08459	3.37486	2.01874	2.97359	0.00479333	1.99521	0.0490145	20.4021	0.627264	1.60377	2.0472	1.69148	1.0118	1.49036	2.3997	2.3997	0.00183319	0.0497437	0.00857735	0.103458	0.0553251	0.00183319	0.112708	0.124557	0.132951	0.0045053	0.0497437	0.112708	0.268553	0.0825223	0.083934	0.00857735	0.124557	0.268553	0.0848848	0.00964547	0.103458	0.132951	0.0825223	0.0848848	0.0213987	0.0553251	0.0045053	0.083934	0.00964547	0.0213987	4.470992
47	-1187.723	-1174.72	-13.00345	2.203431	0.00983285	0.0251403	0.0320914	0.0227609	0.00983858	0.0159262	1.2447	3.1824	4.06231	2.88119	1.24542	2.01603	0.0156758	1.98432	0.0888808	11.251	0.627264	1.60377	2.0472	1.45198	0.62763	1.01598	2.20343	2.20343	0.00183319	0.0600382	0.00948629	0.0825993	0.0459365	0.00183319	0.0934403	0.0957294	0.1179	0.00579766	0.0600382	0.0934403	0.275466	0.0825223	0.0702936	0.00948629	0.0957294	0.275466	0.0998615	0.00956703	0.0825993	0.1179	0.0825223	0.0998615	0.0174607	0.0459365	0.00579766	0.0702936	0.00956703	0.0174607	3.588578
48	-1187.314	-1170.378	-16.9362	2.332454	0.00484552	0.00563334	0.00719091	0.00510016	0.00261483	0.00314767	2.75413	3.20191	4.08721	2.89886	1.48623	1.78909	0.00351256	1.99649	0.0419448	23.8408	1.37949	1.60377	2.0472	1.45198	0.744422	0.896119	2.33245	2.33245	0.00231521	0.0604197	0.0110966	0.0542929	0.0505154	0.00231521	0.101249	0.110192	0.105195	0.00579766	0.0604197	0.101249	0.295104	0.0803132	0.0799453	0.0110966	0.110192	0.295104	0.0883376	0.0105433	0.0542929	0.105195	0.0803132	0.0883376	0.0179153	0.0505154	0.00579766	0.0799453	0.0105433	0.0179153	4.701925
49	-1189.434	-1171.935	-17.49874	2.374786	0.00484552	0.00563334	0.00719091	0.00510016	0.00230859	0.00560161	2.75413	3.20191	4.08721	2.89886	1.31217	3.18387	0.00351256	1.99649	0.0419448	23.8408	1.37949	1.60377	2.0472	1.45198	0.657238	1.59474	2.37479	2.37479	0.00281661	0.072181	0.0102202	0.0668525	0.0505154	0.00281661	0.098283	0.101746	0.0873225	0.00375329	0.072181	0.098283	0.284871	0.0803132	0.077372	0.0102202	0.101746	0.284871	0.0773822	0.0116212	0.0668525	0.0873225	0.0803132	0.0773822	0.0179153	0.0505154	0.00375329	0.077372	0.0116212	0.0179153	4.701925
50	-1190.504	-1172.535	-17.96843	2.374786	0.00484552	0.00536615	0.00719091	0.00510016	0.00230859	0.00575257	2.75413	3.05004	4.08721	2.89886	1.31217	3.26968	0.00351256	1.99649	0.0419448	23.8408	1.37949	1.5277	2.0472	1.45198	0.657238	1.63772	2.37479	2.37479	0.00183085	0.0726753	0.00957682	0.0913801	0.0461556	0.00183085	0.0995877	0.0875335	0.108862	0.00355151	0.0726753	0.0995877	0.284871	0.107083	0.0681428	0.00957682	0.0875335	0.284871	0.0919408	0.0118716	0.0913801	0.108862	0.107083	0.0919408	0.0125738	0.0461556	0.00355151	0.0681428	0.0118716	0.0125738	4.701925
51	-1188.233	-1170.824	-17.40916	2.374786	0.00484552	0.00536615	0.00719091	0.00510016	0.00233251	0.00379528	2.75413	3.05004	4.08721	2.89886	1.32576	2.15718	0.00351256	1.99649	0.0419448	23.8408	1.37949	1.5277	2.0472	1.45198	0.664048	1.08049	2.37479	2.37479	0.00189322	0.0731508	0.0080781	0.0712266	0.0405623	0.00189322	0.0995877	0.0965628	0.106468	0.00364425	0.0731508	0.0995877	0.322866	0.0974525	0.0599901	0.0080781	0.0965628	0.322866	0.0767148	0.0118162	0.0712266	0.106468	0.0974525	0.0767148	0.010596	0.0405623	0.00364425	0.0599901	0.0118162	0.010596	4.701925
52	-1188.087	-1170.278	-17.80899	2.503458	0.00845943	0.0123636	0.0169413	0.0120156	0.00633177	0.0143621	2.03603	2.97568	4.07746	2.89194	1.52394	3.4567	0.00827536	1.99172	0.0644583	15.5139	1.02224	1.49402	2.0472	1.45198	0.765135	1.73553	2.50346	2.50346	0.00243491	0.0772229	0.0080781	0.0376269	0.0408444	0.00243491	0.121517	0.0893829	0.107211	0.00351039	0.0772229	0.121517	0.322866	0.0940868	0.0627317	0.0080781	0.0893829	0.322866	0.0971061	0.00934725	0.0376269	0.107211	0.0940868	0.0971061	0.00935041	0.0408444	0.00351039	0.0627317	0.00934725	0.00935041	4.064905
53	-1185.329	-1172.276	-13.05256	2.10325	0.0072035	0.0123636	0.0169413	0.0120156	0.00633177	0.00663655	1.73375	2.97568	4.07746	2.89194	1.52394	1.59729	0.00827536	1.99172	0.0644583	15.5139	0.870475	1.49402	2.0472	1.45198	0.765135	0.801965	2.10325	2.10325	0.00246374	0.0734244	0.00614923	0.0426604	0.0409904	0.00246374	0.121517	0.0754824	0.114466	0.00366446	0.0734244	0.121517	0.309234	0.0907118	0.0630416	0.00614923	0.0754824	0.309234	0.0971061	0.00934725	0.0426604	0.114466	0.0907118	0.0971061	0.00966793	0.0409904	0.00366446	0.0630416	0.00934725	0.00966793	4.064905
54	-1189.381	-1177.077	-12.30462	2.005605	0.0115834	0.0192618	0.0263937	0.0185664	0.00900278	0.0156093	1.78532	2.96878	4.06801	2.8616	1.38758	2.40584	0.0128926	1.98711	0.0805488	12.4148	0.898453	1.49402	2.0472	1.44008	0.698293	1.21072	2.0056	2.0056	0.00311956	0.0677836	0.00614923	0.0507073	0.039585	0.00311956	0.146351	0.0672131	0.112498	0.0049731	0.0677836	0.146351	0.326534	0.0813418	0.0621753	0.00614923	0.0672131	0.326534	0.109377	0.0113127	0.0507073	0.112498	0.0813418	0.109377	0.00953078	0.039585	0.0049731	0.0621753	0.0113127	0.00953078	3.734515
55	-1181.417	-1164.538	-16.87926	2.303882	0.00141449	0.00289787	0.00397084	0.0030622	0.00135444	0.00234838	1.45709	2.98515	4.09043	3.15442	1.39523	2.4191	0.00193965	1.99806	0.0311571	32.0954	0.729252	1.49402	2.0472	1.57874	0.698293	1.21072	2.30388	2.30388	0.00379857	0.0638449	0.0048191	0.0345716	0.0630313	0.00379857	0.116104	0.0872761	0.112498	0.0049731	0.0638449	0.116104	0.290265	0.0743402	0.0742316	0.0048191	0.0872761	0.290265	0.103849	0.011628	0.0345716	0.112498	0.0743402	0.103849	0.01045	0.0630313	0.0049731	0.0742316	0.011628	0.01045	5.142722
56	-1184.465	-1165.685	-18.77992	2.303882	0.000747716	0.0012301	0.00154416	0.00119081	0.000643469	0.000871642	1.98185	3.26042	4.09286	3.1563	1.70554	2.31032	0.00075428	1.99925	0.0194238	51.4834	0.991298	1.63082	2.0472	1.57874	0.853091	1.1556	2.30388	2.30388	0.00712759	0.0682761	0.00470061	0.0345716	0.0657953	0.00712759	0.10603	0.0893285	0.112498	0.00475943	0.0682761	0.10603	0.286976	0.0774752	0.0850659	0.00470061	0.0893285	0.286976	0.103849	0.0169811	0.0345716	0.112498	0.0774752	0.103849	0.0105207	0.0657953	0.00475943	0.0850659	0.0169811	0.0105207	5.843319
57	-1188.591	-1169.429	-19.16281	2.272572	0.000968585	0.0012301	0.00154416	0.00119081	0.000643469	0.000970298	2.56727	3.26042	4.09286	3.1563	1.70554	2.57181	0.00075428	1.99925	0.0194238	51.4834	1.28412	1.63082	2.0472	1.57874	0.853091	1.28639	2.27257	2.27257	0.00618383	0.0601323	0.00351694	0.0380974	0.0947285	0.00618383	0.106224	0.0780683	0.131818	0.00738742	0.0601323	0.106224	0.314706	0.0681978	0.067545	0.00351694	0.0780683	0.314706	0.0998661	0.0165833	0.0380974	0.131818	0.0681978	0.0998661	0.0140775	0.0947285	0.00738742	0.067545	0.0165833	0.0140775	5.843319
58	-1188.264	-1171.957	-16.30693	2.396505	0.00985854	0.0129053	0.0162003	0.0124932	0.00441246	0.00769458	2.48175	3.24874	4.0782	3.14499	1.11078	1.937	0.00791339	1.99209	0.0630271	15.8662	1.24581	1.63082	2.0472	1.57874	0.557595	0.97235	2.3965	2.3965	0.00611018	0.0575408	0.00351694	0.0359229	0.0860222	0.00611018	0.121338	0.0920686	0.140949	0.00737203	0.0575408	0.121338	0.264309	0.0789332	0.0563969	0.00351694	0.0920686	0.264309	0.0815638	0.0271292	0.0359229	0.140949	0.0789332	0.0815638	0.0167922	0.0860222	0.00737203	0.0563969	0.0271292	0.0167922	4.098196
59	-1187.975	-1171.85	-16.12555	2.378076	0.00646657	0.0125567	0.0162003	0.0124932	0.00531699	0.00769458	1.62787	3.16097	4.0782	3.14499	1.33848	1.937	0.00791339	1.99209	0.0630271	15.8662	0.817168	1.58676	2.0472	1.57874	0.671898	0.97235	2.37808	2.37808	0.00986091	0.0575505	0.00405101	0.0476021	0.0783117	0.00986091	0.114794	0.0600549	0.153206	0.0122729	0.0575505	0.114794	0.291334	0.0686925	0.0697303	0.00405101	0.0600549	0.291334	0.095742	0.0229871	0.0476021	0.153206	0.0686925	0.095742	0.0172018	0.0783117	0.0122729	0.0697303	0.0229871	0.0172018	4.098196
60	-1192.533	-1174.955	-17.57737	2.209998	0.00175346	0.00340483	0.00439282	0.00312634	0.00152351	0.00242427	1.63258	3.17012	4.09001	2.91083	1.41849	2.25716	0.00214577	1.99785	0.0327725	30.5134	0.817168	1.58676	2.0472	1.45698	0.710006	1.12979	2.21	2.21	0.0077789	0.0575505	0.00405101	0.0779985	0.118152	0.0077789	0.121277	0.0891418	0.152263	0.0138734	0.0575505	0.121277	0.27009	0.0682496	0.0909062	0.00405101	0.0891418	0.27009	0.125984	0.0229871	0.0779985	0.152263	0.0682496	0.125984	0.0161039	0.118152	0.0138734	0.0909062	0.0229871	0.0161039	5.067779
61	-1184.369	-1168.014	-16.35482	2.294077	0.0075643	0.0149488	0.0188465	0.0137261	0.00668893	0.0106437	1.59828	3.15857	3.98213	2.90023	1.41332	2.24894	0.00942095	1.99058	0.0687951	14.5359	0.802923	1.58676	2.00049	1.45698	0.710006	1.12979	2.29408	2.29408	0.00500035	0.0669705	0.00390884	0.070882	0.134024	0.00500035	0.119019	0.0775297	0.135668	0.00759706	0.0669705	0.119019	0.299596	0.0847221	0.0806035	0.00390884	0.0775297	0.299596	0.103154	0.0235243	0.070882	0.135668	0.0847221	0.103154	0.0156285	0.134024	0.00759706	0.0806035	0.0235243	0.0156285	3.968366
62	-1187.404	-1172.971	-14.43259	2.057473	0.00774724	0.014868	0.0194853	0.0141913	0.00691565	0.0106447	1.58302	3.03803	3.98149	2.89976	1.4131	2.17506	0.00974027	1.99026	0.0699569	14.2945	0.795383	1.52645	2.00049	1.45698	0.710006	1.09285	2.05747	2.05747	0.00664983	0.0772375	0.00422637	0.0838677	0.150776	0.00664983	0.119019	0.0723192	0.117842	0.00858829	0.0772375	0.119019	0.334843	0.0883006	0.0744429	0.00422637	0.0723192	0.334843	0.0992001	0.016204	0.0838677	0.117842	0.0883006	0.0992001	0.0116508	0.150776	0.00858829	0.0744429	0.016204	0.0116508	3.943538
63	-1184.504	-1169.39	-15.11397	2.211503	0.00774724	0.0155674	0.0187917	0.0141913	0.00691565	0.00937422	1.58302	3.18094	3.83977	2.89976	1.4131	1.91546	0.00974027	1.99026	0.0699569	14.2945	0.795383	1.59825	1.92928	1.45698	0.710006	0.962419	2.2115	2.2115	0.0108041	0.0761277	0.00451023	0.059561	0.150776	0.0108041	0.112297	0.0954721	0.107653	0.00862931	0.0761277	0.112297	0.319594	0.0830818	0.0616194	0.00451023	0.0954721	0.319594	0.0813117	0.0165358	0.059561	0.107653	0.0830818	0.0813117	0.0116508	0.150776	0.00862931	0.0616194	0.0165358	0.0116508	3.943538
64	-1190.523	-1173.598	-16.92554	2.305385	0.00676569	0.0155674	0.0196608	0.0141913	0.0080365	0.0117236	1.38246	3.18094	4.01735	2.89976	1.64212	2.39553	0.00974027	1.99026	0.0699569	14.2945	0.69461	1.59825	2.01851	1.45698	0.82508	1.20362	2.30539	2.30539	0.0108217	0.0660874	0.003531	0.0932389	0.164866	0.0108217	0.103419	0.0959364	0.107653	0.00862931	0.0660874	0.103419	0.290339	0.109169	0.0611555	0.003531	0.0959364	0.290339	0.128893	0.0208353	0.0932389	0.107653	0.109169	0.128893	0.0104399	0.164866	0.00862931	0.0611555	0.0208353	0.0104399	3.943538
65	-1189.819	-1170.755	-19.06361	2.366387	0.00161203	0.00350403	0.00442301	0.00322196	0.00182458	0.00228056	1.45632	3.16555	3.99576	2.91073	1.64834	2.06026	0.0022114	1.99779	0.0332705	30.0567	0.728964	1.58453	2.00009	1.45698	0.82508	1.03127	2.36639	2.36639	0.00957369	0.052606	0.00504736	0.0914026	0.128491	0.00957369	0.112738	0.0838959	0.110088	0.00613988	0.052606	0.112738	0.33208	0.107604	0.0685447	0.00504736	0.0838959	0.33208	0.119229	0.0222236	0.0914026	0.110088	0.107604	0.119229	0.00805698	0.128491	0.00613988	0.0685447	0.0222236	0.00805698	5.045421
66	-1190.15	-1172.986	-17.16386	2.289942	0.00632438	0.010567	0.0133383	0.00971637	0.00550235	0.00904643	1.89036	3.15849	3.98684	2.90424	1.64466	2.70399	0.00666887	1.99333	0.0578411	17.2888	0.948344	1.58453	2.00009	1.45698	0.82508	1.35652	2.28994	2.28994	0.0129857	0.052606	0.00660481	0.0739205	0.0783226	0.0129857	0.113516	0.0907398	0.140549	0.00524526	0.052606	0.113516	0.302859	0.118035	0.0685447	0.00660481	0.0907398	0.302859	0.124765	0.0222236	0.0739205	0.140549	0.118035	0.124765	0.00722932	0.0783226	0.00524526	0.0685447	0.0222236	0.00722932	4.2255
67	-1185.632	-1170.494	-15.13742	2.145858	0.00503522	0.0103546	0.0130702	0.00952106	0.00539174	0.00677052	1.53601	3.1587	3.98711	2.90443	1.64477	2.06537	0.00653481	1.99347	0.0572548	17.4658	0.770523	1.58453	2.00009	1.45698	0.82508	1.03607	2.14586	2.14586	0.0104071	0.0657132	0.00680946	0.0739205	0.0626452	0.0104071	0.127552	0.0954062	0.140549	0.00524526	0.0657132	0.127552	0.318607	0.074833	0.0657197	0.00680946	0.0954062	0.318607	0.113939	0.0166138	0.0739205	0.140549	0.074833	0.113939	0.00979839	0.0626452	0.00524526	0.0657197	0.0166138	0.00979839	4.240603
68	-1184.969	-1169.668	-15.30173	2.1721	0.00503522	0.0103546	0.0130702	0.0106317	0.00449809	0.00912921	1.53601	3.1587	3.98711	3.24323	1.37216	2.7849	0.00653481	1.99347	0.0572548	17.4658	0.770523	1.58453	2.00009	1.62693	0.688328	1.39701	2.1721	2.1721	0.0104071	0.067883	0.00755164	0.0848311	0.0742919	0.0104071	0.122532	0.104577	0.140549	0.00453666	0.067883	0.122532	0.289497	0.0690382	0.0657197	0.00755164	0.104577	0.289497	0.0841668	0.0164052	0.0848311	0.140549	0.0690382	0.0841668	0.012473	0.0742919	0.00453666	0.0657197	0.0164052	0.012473	4.240603
69	-1193.289	-1178.587	-14.7024	2.255991	0.0115584	0.0237691	0.0300028	0.0244051	0.0113929	0.0131478	1.52949	3.14529	3.97018	3.22945	1.50759	1.73981	0.0150007	1.985	0.0869312	11.5033	0.770523	1.58453	2.00009	1.62693	0.75949	0.876479	2.25599	2.25599	0.0114253	0.0674746	0.00752075	0.0894181	0.0750606	0.0114253	0.0952492	0.104577	0.136943	0.0034742	0.0674746	0.0952492	0.343116	0.0690382	0.073486	0.00752075	0.104577	0.343116	0.049669	0.0219308	0.0894181	0.136943	0.0690382	0.049669	0.0127892	0.0750606	0.0034742	0.073486	0.0219308	0.0127892	3.621461
70	-1191.11	-1173.331	-17.77885	2.255991	0.00141489	0.00304112	0.00375898	0.00305766	0.00147078	0.00186422	1.50427	3.23322	3.99642	3.2508	1.56368	1.98197	0.0018794	1.99812	0.030669	32.6062	0.75284	1.61813	2.00009	1.62693	0.782577	0.991919	2.25599	2.25599	0.0126122	0.0755728	0.00856026	0.0941754	0.0498398	0.0126122	0.110594	0.117272	0.109292	0.0033944	0.0755728	0.110594	0.343116	0.110786	0.068498	0.00856026	0.117272	0.343116	0.0539924	0.0242114	0.0941754	0.109292	0.110786	0.0539924	0.0132569	0.0498398	0.0033944	0.068498	0.0242114	0.0132569	5.166133
