Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
10	-1406.214	-1405.265	-0.9489568	0.7553233	0.0127339	0.0327625	0.0434978	0.0319706	0.0119088	0.0367347	1.00641	2.58934	3.43779	2.52675	0.941197	2.90328	0.0249895	1.97501	0.112485	8.89009	0.50957	1.31105	1.74064	1.27936	0.476553	1.47	0.755323	0.755323	0.0376807	0.0657409	0.0153489	0.0196255	0.119607	0.0376807	0.0307547	0.0469237	0.276972	0.0155025	0.0657409	0.0307547	0.297815	0.130451	0.0738074	0.0153489	0.0469237	0.297815	0.112662	0.0486115	0.0196255	0.276972	0.130451	0.112662	0.0216021	0.119607	0.0155025	0.0738074	0.0486115	0.0216021	3.239393
11	-1320.112	-1315.93	-4.182378	1.108809	0.0157133	0.0327625	0.0440925	0.0350239	0.0138874	0.0367347	1.24188	2.58934	3.4848	2.76807	1.09757	2.90328	0.0249895	1.97501	0.112485	8.89009	0.628796	1.31105	1.76444	1.40155	0.55573	1.47	1.10881	1.10881	0.0259881	0.0750748	0.0138363	0.0198881	0.10764	0.0259881	0.0353859	0.0464553	0.276972	0.0153065	0.0750748	0.0353859	0.303424	0.103437	0.0589976	0.0138363	0.0464553	0.303424	0.112662	0.0423422	0.0198881	0.276972	0.103437	0.112662	0.0284865	0.10764	0.0153065	0.0589976	0.0423422	0.0284865	3.239393
12	-1242.274	-1228.815	-13.45901	1.973126	0.00164467	0.00391778	0.00540867	0.00363635	0.00145356	0.00258626	1.25595	2.99179	4.1303	2.77688	1.11001	1.97498	0.00261559	1.99738	0.0361871	27.6341	0.628796	1.49786	2.06786	1.39026	0.55573	0.988785	1.97313	1.97313	0.0211439	0.0738642	0.0138363	0.0177325	0.0890842	0.0211439	0.0353859	0.0634918	0.174842	0.0154069	0.0738642	0.0353859	0.303424	0.107446	0.0541274	0.0138363	0.0634918	0.303424	0.0928291	0.0437721	0.0177325	0.174842	0.107446	0.0928291	0.0196505	0.0890842	0.0154069	0.0541274	0.0437721	0.0196505	4.920833
13	-1213.939	-1198.427	-15.51244	2.264573	0.00219765	0.00443955	0.005287	0.00404876	0.00146302	0.00276156	1.67822	3.39024	4.03739	3.09181	1.11723	2.10885	0.00261559	1.99738	0.0361871	27.6341	0.84021	1.69734	2.02134	1.54793	0.559346	1.05581	2.26457	2.26457	0.0211439	0.0617443	0.00995895	0.0156562	0.073435	0.0211439	0.045692	0.0856901	0.110765	0.0154148	0.0617443	0.045692	0.263141	0.0972715	0.0653362	0.00995895	0.0856901	0.263141	0.0808097	0.0371639	0.0156562	0.110765	0.0972715	0.0808097	0.0155237	0.073435	0.0154148	0.0653362	0.0371639	0.0155237	4.920833
14	-1214.092	-1196.166	-17.92584	2.543008	0.00541518	0.00801445	0.00954429	0.00754108	0.00262506	0.00531577	2.28829	3.38666	4.03313	3.18663	1.10927	2.24628	0.00472177	1.99528	0.0486464	20.5565	1.14685	1.69734	2.02134	1.59709	0.555948	1.1258	2.54301	2.54301	0.0140419	0.0536067	0.0115303	0.0189652	0.0642835	0.0140419	0.045692	0.0877625	0.110765	0.018465	0.0536067	0.045692	0.286629	0.103438	0.0684705	0.0115303	0.0877625	0.286629	0.0875395	0.0355721	0.0189652	0.110765	0.103438	0.0875395	0.0189129	0.0642835	0.018465	0.0684705	0.0355721	0.0189129	4.482169
15	-1210.145	-1192.69	-17.45443	2.457224	0.00529759	0.00906741	0.0116985	0.00924319	0.00497837	0.00603808	1.82539	3.12436	4.03098	3.18493	1.7154	2.08054	0.00578753	1.99421	0.0538717	18.5626	0.915345	1.56672	2.02134	1.59709	0.86019	1.04329	2.45722	2.45722	0.0119519	0.0660792	0.0107114	0.0189652	0.081419	0.0119519	0.0467384	0.108727	0.104518	0.0143956	0.0660792	0.0467384	0.285012	0.113037	0.0615973	0.0107114	0.108727	0.285012	0.0964571	0.0430423	0.0189652	0.104518	0.113037	0.0964571	0.0189129	0.081419	0.0143956	0.0615973	0.0430423	0.0189129	4.330903
16	-1210.512	-1193.383	-17.12851	2.515846	0.00728825	0.0127932	0.0165055	0.0130412	0.0055877	0.00739128	1.77781	3.12064	4.02617	3.18113	1.363	1.80295	0.00816565	1.99183	0.0640278	15.6182	0.892551	1.56672	2.02134	1.59709	0.684294	0.905168	2.51585	2.51585	0.0110704	0.0707716	0.014067	0.0136575	0.0903427	0.0110704	0.0467384	0.0916034	0.10081	0.0166109	0.0707716	0.0467384	0.285012	0.0963844	0.0711774	0.014067	0.0916034	0.285012	0.110489	0.0378714	0.0136575	0.10081	0.0963844	0.110489	0.0221789	0.0903427	0.0166109	0.0711774	0.0378714	0.0221789	4.07484
17	-1203.853	-1188.877	-14.97621	2.272281	0.00784753	0.0127932	0.0165055	0.0126069	0.00615928	0.00813261	1.91424	3.12064	4.02617	3.07517	1.50242	1.98378	0.00816565	1.99183	0.0640278	15.6182	0.961043	1.56672	2.02134	1.54389	0.754291	0.995954	2.27228	2.27228	0.0206362	0.0702045	0.0125309	0.0144863	0.096078	0.0206362	0.0522739	0.0924622	0.0959013	0.00955803	0.0702045	0.0522739	0.285012	0.0905911	0.0711774	0.0125309	0.0924622	0.285012	0.0873683	0.0378714	0.0144863	0.0959013	0.0905911	0.0873683	0.0219466	0.096078	0.00955803	0.0711774	0.0378714	0.0219466	4.07484
18	-1203.814	-1189.555	-14.25979	2.160843	0.00391208	0.0065512	0.00801628	0.00645575	0.00263286	0.0041285	1.86723	3.12688	3.82616	3.08132	1.25666	1.97053	0.00418148	1.99582	0.0457725	21.8472	0.935572	1.56672	1.91709	1.54389	0.629646	0.987329	2.16084	2.16084	0.0206362	0.0702045	0.013913	0.0109994	0.0741722	0.0206362	0.0522739	0.112716	0.09604	0.0110222	0.0702045	0.0522739	0.285012	0.0731955	0.0711774	0.013913	0.112716	0.285012	0.0766656	0.0378714	0.0109994	0.09604	0.0731955	0.0766656	0.0206514	0.0741722	0.0110222	0.0711774	0.0378714	0.0206514	4.572451
19	-1198.64	-1185.379	-13.26169	2.026118	0.00352016	0.0065512	0.00801628	0.00645575	0.00259601	0.00361585	1.68017	3.12688	3.82616	3.08132	1.23908	1.72584	0.00418148	1.99582	0.0457725	21.8472	0.841845	1.56672	1.91709	1.54389	0.620836	0.864729	2.02612	2.02612	0.0122288	0.0623905	0.013913	0.012547	0.0741722	0.0122288	0.0578792	0.0902364	0.124854	0.0101871	0.0623905	0.0578792	0.322517	0.0922194	0.0711774	0.013913	0.0902364	0.322517	0.080161	0.0328396	0.012547	0.124854	0.0922194	0.080161	0.0213263	0.0741722	0.0101871	0.0711774	0.0328396	0.0213263	4.572451
