Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
37	-1141.73	-1134.281	-7.449036	2.122619	0.00292892	0.0045375	0.00575903	0.00476073	0.00228083	0.00328124	2.00215	3.10175	3.93677	3.25435	1.55913	2.243	0.00292149	1.99708	0.0382476	26.1454	1.00254	1.55315	1.97127	1.62955	0.780706	1.12314	2.12262	2.12262	0.00547111	0.411104	0.0809149	0.125918	0.0520252	0.0107819	0.174425	0.134987	0.123866	0.0176953	0.0733699	0.106434	0.228394	0.120894	0.0851478	0.0122929	0.0687043	0.281277	0.0777683	0.0160748	0.0749752	0.0708226	0.107777	0.37341	0.0162498	0.151306	0.0156697	0.0431178	0.628588	0.173065	4.838729
38	-1140.763	-1132.27	-8.493308	2.388383	0.00331564	0.00475156	0.00575903	0.00476073	0.00227211	0.00380061	2.26651	3.24808	3.93677	3.25435	1.55317	2.59803	0.00292149	1.99708	0.0382476	26.1454	1.13491	1.62642	1.97127	1.62955	0.777722	1.30092	2.38838	2.38838	0.00690922	0.359826	0.0971937	0.103775	0.0464667	0.013288	0.183539	0.10921	0.127249	0.0165167	0.0617075	0.0977708	0.228394	0.117908	0.0749267	0.0107303	0.0689983	0.272454	0.0817867	0.0191817	0.066462	0.0813538	0.107777	0.511284	0.0163161	0.134148	0.0139778	0.0532163	0.451093	0.144289	4.838729
39	-1143.77	-1136.951	-6.819824	2.102941	0.00300504	0.00327532	0.00405631	0.00363836	0.00173645	0.00288702	2.68879	2.93063	3.62943	3.25547	1.55371	2.5832	0.00223274	1.99777	0.0334308	29.9126	1.3459	1.46695	1.81674	1.62955	0.777722	1.29304	2.10294	2.10294	0.00811767	0.466604	0.107925	0.0677245	0.0352691	0.0126687	0.162802	0.113425	0.147606	0.011604	0.0679438	0.0977708	0.251262	0.113784	0.0814554	0.0107303	0.073856	0.269804	0.090544	0.0173862	0.0480891	0.118567	0.117801	0.446117	0.0192024	0.177234	0.00781713	0.0618261	0.421119	0.11653	5.038296
40	-1144.26	-1136.626	-7.633899	2.102941	0.000621262	0.000852741	0.0010782	0.000959896	0.000480495	0.000757063	2.093	2.87284	3.63241	3.23384	1.61876	2.55051	0.00059348	1.99941	0.0172287	58.0427	1.04681	1.43685	1.81674	1.6174	0.809622	1.27563	2.10294	2.10294	0.00705677	0.500503	0.0643581	0.0446198	0.0418592	0.0131011	0.173993	0.0866874	0.123653	0.00982653	0.0701062	0.0769318	0.280347	0.116132	0.0813703	0.0121987	0.0735914	0.285848	0.0608963	0.0148991	0.0472485	0.140122	0.115959	0.446117	0.0288337	0.206497	0.0100714	0.0424062	0.399826	0.101187	6.021112
41	-1148.413	-1144.122	-4.290957	1.976367	0.0063535	0.0108111	0.0136695	0.0121134	0.00587195	0.010553	1.68247	2.86289	3.61982	3.20777	1.55496	2.79454	0.00752415	1.99248	0.0614515	16.273	0.844414	1.43685	1.81674	1.60994	0.780414	1.40255	1.97637	1.97637	0.00907987	0.375977	0.0456029	0.0620128	0.0403546	0.0188176	0.186669	0.105037	0.145308	0.0102616	0.0540741	0.0881735	0.287702	0.123753	0.0915594	0.0103552	0.0735914	0.304755	0.0521763	0.0124918	0.0553026	0.140122	0.147789	0.482244	0.0202545	0.206497	0.0088582	0.0438148	0.482849	0.118889	4.13573
42	-1151.582	-1144.741	-6.840799	2.135129	0.00519362	0.0109021	0.0136695	0.0121134	0.00587195	0.0063359	1.37533	2.887	3.61982	3.20777	1.55496	1.67781	0.00752415	1.99248	0.0614515	16.273	0.69026	1.44895	1.81674	1.60994	0.780414	0.842075	2.13513	2.13513	0.0108138	0.47185	0.0584042	0.0449251	0.0536185	0.0229557	0.151052	0.105037	0.148007	0.0111053	0.0563776	0.108726	0.287702	0.0866756	0.0793059	0.013232	0.0798382	0.365277	0.0521763	0.0167062	0.0303991	0.143303	0.161701	0.313558	0.0214086	0.230962	0.00814766	0.0530299	0.700822	0.118889	4.13573
43	-1142.748	-1135.447	-7.301554	2.135129	0.00805027	0.012477	0.0145396	0.0121134	0.00587195	0.010653	2.1318	3.30405	3.85025	3.20777	1.55496	2.82102	0.00752415	1.99248	0.0614515	16.273	1.06992	1.65826	1.93239	1.60994	0.780414	1.41584	2.13513	2.13513	0.00967397	0.409929	0.0485176	0.0396211	0.0578615	0.0286336	0.142233	0.123833	0.109135	0.0123602	0.0640661	0.108726	0.287702	0.0947806	0.105424	0.0113038	0.0679824	0.264757	0.0679519	0.020585	0.0467475	0.114108	0.165204	0.313558	0.0177451	0.230962	0.00991007	0.0709835	0.757793	0.127061	4.13573
44	-1142.132	-1130.223	-11.90833	2.135129	0.000371834	0.000789315	0.000919799	0.000766315	0.000418738	0.000469136	1.56199	3.31573	3.86387	3.21912	1.75902	1.97073	0.00047599	1.99952	0.0154289	64.8134	0.781182	1.65826	1.93239	1.60994	0.87972	0.985601	2.13513	2.13513	0.00707698	0.564183	0.0485176	0.0581076	0.0534788	0.0172728	0.17442	0.123833	0.118126	0.0126167	0.0581281	0.0949012	0.262276	0.0880391	0.0946164	0.0167065	0.061567	0.257763	0.0721917	0.017458	0.0515979	0.101766	0.212089	0.383573	0.0188737	0.208832	0.00922497	0.045815	0.746259	0.137166	6.184693
45	-1145.992	-1134.55	-11.44293	2.505359	0.00634635	0.0134718	0.0156988	0.0130792	0.00583931	0.0139558	1.55602	3.30305	3.84909	3.2068	1.4317	3.42173	0.00812403	1.99188	0.0638638	15.6583	0.781182	1.65826	1.93239	1.60994	0.71877	1.71784	2.50536	2.50536	0.00958573	0.580004	0.0453063	0.0478181	0.0647882	0.013693	0.116986	0.100227	0.123028	0.0135889	0.0816165	0.0911663	0.262276	0.0864757	0.0726808	0.0198973	0.0808124	0.221336	0.0932921	0.0241309	0.0495853	0.101766	0.254082	0.377065	0.0209273	0.143912	0.00922497	0.0518468	0.746259	0.14759	4.078643
46	-1140.38	-1132.444	-7.935984	2.141577	0.00143244	0.00257982	0.0030063	0.0024029	0.00106442	0.00258365	1.84007	3.31394	3.86178	3.08668	1.36732	3.31887	0.00155574	1.99844	0.0279012	35.8408	0.920749	1.65826	1.93239	1.54454	0.684192	1.66073	2.14158	2.14158	0.010987	0.470833	0.0524792	0.0425186	0.0625565	0.0121459	0.170329	0.0790329	0.126855	0.0103948	0.0652575	0.0885119	0.275531	0.0881978	0.0807863	0.0191695	0.0690322	0.207044	0.0670692	0.0203064	0.0349396	0.128526	0.200749	0.324559	0.0117168	0.147933	0.0112342	0.0482091	0.746259	0.118149	5.306363
47	-1144.631	-1135.948	-8.682813	2.141577	0.00228742	0.00653265	0.00761259	0.00608466	0.00280042	0.00609382	1.159	3.30999	3.85718	3.083	1.41893	3.08764	0.00393946	1.99606	0.0444254	22.5096	0.580643	1.65826	1.93239	1.54454	0.710864	1.54687	2.14158	2.14158	0.0128637	0.282141	0.0439873	0.0462296	0.0777666	0.0148679	0.190936	0.0602326	0.120741	0.00893934	0.0560968	0.0899611	0.297357	0.107042	0.102823	0.0189382	0.0797589	0.265168	0.0820656	0.0163563	0.0304825	0.115752	0.200749	0.303655	0.0128991	0.125414	0.0153054	0.0468383	1.03424	0.19864	4.61674
48	-1146.088	-1137.572	-8.51655	2.10588	0.0056762	0.0159744	0.0186152	0.0148789	0.00674856	0.016264	1.17279	3.30055	3.84617	3.0742	1.39435	3.36039	0.00963322	1.99037	0.0695695	14.3741	0.589232	1.65826	1.93239	1.54454	0.700551	1.68833	2.10588	2.10588	0.0101668	0.334777	0.0604848	0.0538386	0.0777666	0.0157912	0.204634	0.067362	0.124994	0.0123396	0.0750562	0.0799548	0.286417	0.0817185	0.0818094	0.0181726	0.0632474	0.305976	0.0688275	0.0273174	0.0410951	0.126284	0.284042	0.319819	0.0114581	0.128993	0.015718	0.0546207	0.920208	0.237787	3.95177
49	-1142.989	-1133.296	-9.692306	2.211182	0.00398546	0.0095815	0.0111655	0.00929929	0.00563127	0.00965246	1.37553	3.30694	3.85362	3.20954	1.94356	3.33143	0.00577804	1.99422	0.0538274	18.5779	0.689759	1.65826	1.93239	1.60942	0.974598	1.67054	2.21118	2.21118	0.0092609	0.292027	0.0849157	0.0668277	0.0600778	0.00842182	0.198747	0.0824857	0.15247	0.0141444	0.0666305	0.0998095	0.286417	0.0764126	0.100048	0.0140061	0.0596641	0.300894	0.0722443	0.0292739	0.0455873	0.139645	0.293383	0.288059	0.0113038	0.0849041	0.0155029	0.0793201	0.840783	0.213534	4.332123
50	-1150.496	-1138.835	-11.66133	2.356535	0.00129263	0.00257205	0.00291126	0.00261493	0.000969206	0.0030833	1.71471	3.41191	3.86188	3.46879	1.28568	4.0901	0.00150656	1.99849	0.0274563	36.4216	0.858001	1.70724	1.93239	1.7357	0.643325	2.04659	2.35654	2.35654	0.0092609	0.403715	0.0744349	0.0584859	0.0645422	0.0127661	0.217028	0.0969744	0.15247	0.0141041	0.0781797	0.105282	0.263477	0.0916327	0.0760149	0.0217062	0.0684702	0.362776	0.0796562	0.0281542	0.0350302	0.103488	0.221864	0.285282	0.0110186	0.0818131	0.0162206	0.0871777	0.606761	0.232142	5.330194
51	-1142.785	-1132.711	-10.07309	2.356535	0.00351022	0.0064544	0.00817737	0.00710103	0.00291094	0.00755823	1.71249	3.14884	3.9894	3.4643	1.42013	3.68735	0.00409116	1.99591	0.0452744	22.0875	0.858001	1.57765	1.99879	1.7357	0.711521	1.84746	2.35654	2.35654	0.0148775	0.563436	0.0442507	0.0584696	0.0552903	0.0115774	0.190866	0.0951978	0.117978	0.0114759	0.0950147	0.0844848	0.2529	0.090718	0.0806937	0.0249622	0.0673114	0.248276	0.062681	0.0257968	0.0409971	0.0772616	0.214066	0.305456	0.0155627	0.0774131	0.0179779	0.100059	0.606761	0.27658	4.588673
52	-1147.282	-1134.406	-12.87565	2.343666	0.00351022	0.0064544	0.00817737	0.00727826	0.00347582	0.00759076	1.71249	3.14884	3.9894	3.55076	1.69571	3.70322	0.00409116	1.99591	0.0452744	22.0875	0.858001	1.57765	1.99879	1.77902	0.849592	1.85541	2.34367	2.34367	0.00742339	0.586444	0.0562844	0.0586059	0.0610464	0.0156467	0.224964	0.0869332	0.117978	0.0105146	0.0909462	0.110861	0.282131	0.0943238	0.101168	0.0234504	0.0618315	0.248276	0.0636663	0.0161936	0.0353307	0.0682474	0.348768	0.23909	0.0155627	0.0582115	0.0121823	0.126655	0.674227	0.331918	4.588673
53	-1147.834	-1132.248	-15.58692	2.45977	0.00351022	0.00680034	0.00833261	0.00727826	0.00292659	0.00566979	1.71249	3.31761	4.06514	3.55076	1.42776	2.76606	0.00409116	1.99591	0.0452744	22.0875	0.858001	1.6622	2.03674	1.77902	0.715345	1.38586	2.45977	2.45977	0.00883028	0.66739	0.0999033	0.0743104	0.052967	0.0211978	0.250775	0.0983932	0.107064	0.00837503	0.0921537	0.0879547	0.295576	0.0941039	0.0800898	0.0233002	0.0760545	0.248276	0.0597382	0.0153918	0.0314692	0.0749286	0.251283	0.336556	0.0130847	0.0582115	0.0101426	0.164278	0.736523	0.318324	4.588673
54	-1149.63	-1134.831	-14.79914	2.373672	0.00332221	0.00680034	0.00833261	0.00727826	0.00276446	0.00636583	1.62077	3.31761	4.06514	3.55076	1.34867	3.10563	0.00409116	1.99591	0.0452744	22.0875	0.812046	1.6622	2.03674	1.77902	0.675715	1.556	2.37367	2.37367	0.0214605	0.545396	0.0814564	0.0935473	0.0480985	0.0216607	0.206933	0.113355	0.0800708	0.00775891	0.0792358	0.0879547	0.277252	0.0894148	0.080921	0.0215691	0.0857503	0.273401	0.0597382	0.0174554	0.0403599	0.059604	0.133595	0.36851	0.0104098	0.083294	0.00809717	0.12715	0.86569	0.465917	4.588673
55	-1143.136	-1134.34	-8.796149	2.25037	0.00835169	0.0164811	0.0209473	0.0154082	0.00694956	0.00972002	1.61574	3.18848	4.05253	2.9809	1.34448	1.88046	0.0102848	1.98972	0.0718955	13.9091	0.812046	1.60248	2.03674	1.49816	0.675715	0.94509	2.25037	2.25037	0.0281737	0.475273	0.0646937	0.0782402	0.0250077	0.0170878	0.161627	0.0974949	0.0895838	0.00775891	0.0801241	0.107814	0.278792	0.0890455	0.0963568	0.0249467	0.0876662	0.297552	0.0672858	0.0307883	0.0270727	0.0617221	0.125917	0.352047	0.0108597	0.0687065	0.00670959	0.125612	0.782501	0.353945	3.903013
56	-1143.538	-1135.635	-7.902449	2.308573	0.011942	0.0166468	0.0209473	0.0154082	0.0103177	0.00871532	2.31033	3.22053	4.05253	2.9809	1.9961	1.68609	0.0102848	1.98972	0.0718955	13.9091	1.16114	1.61859	2.03674	1.49816	1.00321	0.847401	2.30857	2.30857	0.0221739	0.39264	0.0646937	0.105906	0.0454392	0.0168599	0.178954	0.0850864	0.129478	0.0053484	0.0803089	0.0828067	0.28719	0.101125	0.0832173	0.0213657	0.0715964	0.297552	0.0846605	0.0307883	0.0412435	0.071001	0.125917	0.436676	0.0144636	0.0605595	0.00674982	0.141093	0.508001	0.297884	3.903013
57	-1142.885	-1135.343	-7.54272	2.308573	0.0157841	0.0260737	0.031633	0.0232682	0.015581	0.0207526	2.01678	3.33152	4.04184	2.97304	1.99083	2.65162	0.0155312	1.98447	0.0884668	11.3037	1.01628	1.6788	2.03674	1.49816	1.00321	1.33619	2.30857	2.30857	0.0191692	0.435478	0.104238	0.0527926	0.0526412	0.0168599	0.178954	0.0824546	0.168045	0.00562443	0.0641523	0.0736803	0.276656	0.0826298	0.091778	0.0213657	0.0702733	0.237673	0.0795776	0.0307883	0.043959	0.0768613	0.12443	0.389101	0.0116381	0.0605595	0.00803979	0.207886	0.541785	0.259843	3.5955
58	-1141.08	-1134.106	-6.973682	2.308573	0.0149104	0.0260737	0.031633	0.0232682	0.0103247	0.018097	1.90515	3.33152	4.04184	2.97304	1.31922	2.31231	0.0155312	1.98447	0.0884668	11.3037	0.960032	1.6788	2.03674	1.49816	0.664774	1.1652	2.30857	2.30857	0.0194884	0.32751	0.0967294	0.0612546	0.0526298	0.0168599	0.156734	0.07396	0.146462	0.00545183	0.0586603	0.0775321	0.276656	0.0726054	0.0695812	0.0150544	0.0789515	0.264961	0.0865835	0.0279316	0.0428798	0.0998519	0.11826	0.330747	0.0119589	0.0649188	0.00752889	0.341802	0.641846	0.22757	3.5955
59	-1139.67	-1127.829	-11.84074	2.397843	0.00230085	0.0036533	0.00493315	0.00405468	0.00219844	0.00344346	1.89759	3.013	4.06854	3.34403	1.81313	2.83994	0.00242209	1.99758	0.0348211	28.7182	0.949943	1.50833	2.03674	1.67404	0.907665	1.42169	2.39784	2.39784	0.0131009	0.202295	0.108684	0.0699556	0.0458574	0.0132188	0.185785	0.103676	0.141585	0.00594594	0.0611846	0.102622	0.296456	0.0969076	0.067039	0.0136312	0.0641792	0.239175	0.101496	0.0327093	0.0371907	0.0943911	0.149349	0.330747	0.0154945	0.0794461	0.00673966	0.471245	0.654346	0.203048	4.977882
60	-1146.924	-1130.285	-16.6384	2.449939	0.00127548	0.00210907	0.00255406	0.00209924	0.000848909	0.00178279	2.033	3.36165	4.07092	3.34599	1.35308	2.8416	0.00125399	1.99875	0.0250478	39.9237	1.01714	1.68188	2.03674	1.67404	0.676963	1.42169	2.44994	2.44994	0.0124905	0.202295	0.146366	0.0752329	0.0458574	0.022547	0.238667	0.122643	0.119823	0.0066805	0.0563124	0.0943253	0.296456	0.0774286	0.0834449	0.00967709	0.0619971	0.246345	0.101496	0.0343167	0.0455808	0.126597	0.191859	0.420055	0.0130019	0.0912981	0.00766243	0.342871	0.799071	0.315643	5.466311
61	-1146.487	-1130.089	-16.3988	2.34261	0.00128022	0.00210907	0.00255406	0.00209924	0.000925794	0.00143203	2.04055	3.36165	4.07092	3.34599	1.47563	2.28251	0.00125399	1.99875	0.0250478	39.9237	1.02092	1.68188	2.03674	1.67404	0.738276	1.14197	2.34261	2.34261	0.00969651	0.163403	0.174492	0.0815194	0.0464708	0.0188396	0.20373	0.122963	0.14799	0.0104464	0.0709752	0.0952444	0.296456	0.0760193	0.0767475	0.0095187	0.0745839	0.248127	0.100406	0.0366047	0.0567813	0.125705	0.213316	0.415322	0.0124985	0.107793	0.00765728	0.342871	0.726567	0.430336	5.466311
62	-1145.275	-1132.378	-12.89728	2.43947	0.00340952	0.00749035	0.00917088	0.00726282	0.00332426	0.00553184	1.51101	3.31953	4.0643	3.2187	1.47323	2.45157	0.00450273	1.9955	0.0475021	21.0517	0.75721	1.66351	2.03674	1.61298	0.738276	1.22855	2.43947	2.43947	0.00809156	0.133935	0.202477	0.0510691	0.0199736	0.0223951	0.20973	0.106839	0.135499	0.00819167	0.0612566	0.0716642	0.256075	0.0790907	0.0956891	0.0109569	0.063673	0.285024	0.0884794	0.0340032	0.0743664	0.16076	0.191246	0.380926	0.02238	0.142215	0.0106176	0.271382	0.710497	0.318314	4.517462
63	-1152.01	-1139.516	-12.49305	2.110551	0.00561767	0.00980563	0.0130284	0.0103177	0.00511248	0.00916546	1.75082	3.05604	4.06044	3.21564	1.59336	2.85652	0.00639668	1.9936	0.0566445	17.654	0.878216	1.53292	2.03674	1.61298	0.799239	1.43285	2.11055	2.11055	0.00647734	0.136627	0.300302	0.0510691	0.0211414	0.0248852	0.218314	0.115892	0.0942867	0.00895738	0.0592592	0.0716642	0.256075	0.0798938	0.0896375	0.00583122	0.0817355	0.265516	0.0856147	0.0369642	0.080805	0.241218	0.229003	0.380926	0.0203238	0.167216	0.00752105	0.42971	0.710497	0.249395	4.256491
64	-1162.282	-1144.285	-17.9967	2.494111	0.00502485	0.00815962	0.0108414	0.00858576	0.00513092	0.00518465	1.88298	3.05769	4.06263	3.21738	1.92273	1.94286	0.00532291	1.99468	0.0516581	19.3581	0.944003	1.53292	2.03674	1.61298	0.963931	0.974025	2.49411	2.49411	0.0119588	0.1393	0.411155	0.0502249	0.0186132	0.0340948	0.290997	0.122773	0.101634	0.00895738	0.0778948	0.0915901	0.281473	0.0882443	0.0950423	0.00583122	0.0789517	0.314478	0.104453	0.0355107	0.0703392	0.292757	0.229003	0.465688	0.0254264	0.13921	0.00712116	0.340126	0.553123	0.25528	4.393111
65	-1160.034	-1143.124	-16.91067	2.305967	0.00651976	0.00815962	0.0108414	0.00926709	0.00501243	0.00736029	2.44318	3.05769	4.06263	3.4727	1.87833	2.75815	0.00532291	1.99468	0.0516581	19.3581	1.22485	1.53292	2.03674	1.74098	0.941671	1.38276	2.30597	2.30597	0.0119588	0.150757	0.487691	0.0466266	0.0249952	0.0275635	0.290997	0.111208	0.126923	0.0111455	0.0786772	0.0980116	0.281473	0.112455	0.0771655	0.00504507	0.0575737	0.338718	0.0762748	0.0317643	0.0704521	0.207584	0.220418	0.349225	0.0294092	0.154515	0.00889373	0.383181	0.594102	0.270737	4.393111
66	-1156.185	-1141.634	-14.55095	2.192013	0.00552137	0.00827086	0.0108414	0.00926709	0.00501243	0.00772347	2.06905	3.09937	4.06263	3.4727	1.87833	2.89425	0.00532291	1.99468	0.0516581	19.3581	1.03728	1.55382	2.03674	1.74098	0.941671	1.45099	2.19201	2.19201	0.0130983	0.119419	0.486114	0.0526901	0.0249952	0.035334	0.232366	0.111208	0.14718	0.0104753	0.0775781	0.106614	0.263708	0.112455	0.0988605	0.00559292	0.0631877	0.355802	0.0762748	0.0219112	0.0527087	0.156845	0.212711	0.400496	0.045883	0.136316	0.0140608	0.431949	0.529353	0.204472	4.393111
67	-1150.499	-1136.275	-14.22354	2.098857	0.0050758	0.00827086	0.0108414	0.00830079	0.00343907	0.00772347	1.90208	3.09937	4.06263	3.11059	1.28874	2.89425	0.00532291	1.99468	0.0516581	19.3581	0.953576	1.55382	2.03674	1.55945	0.646088	1.45099	2.09886	2.09886	0.0130317	0.119419	0.470073	0.067138	0.0209948	0.035334	0.20908	0.0933751	0.132794	0.0107603	0.0689022	0.104537	0.29285	0.111763	0.0854593	0.0119139	0.0552446	0.328174	0.0762748	0.0175191	0.0529233	0.187563	0.235025	0.332279	0.0402897	0.103857	0.0142899	0.521652	0.704571	0.20271	4.393111
68	-1149.24	-1136.411	-12.82878	2.140242	0.0087223	0.0146067	0.0201624	0.0151388	0.00639588	0.0139655	1.75347	2.93643	4.05331	3.04339	1.28578	2.80751	0.00989939	1.9901	0.0705288	14.1786	0.881095	1.47552	2.03674	1.52926	0.646088	1.41074	2.14024	2.14024	0.00959882	0.105969	0.470073	0.0699376	0.0212873	0.0240622	0.180174	0.0997935	0.132794	0.0153154	0.0545004	0.100011	0.299745	0.0729707	0.100145	0.01206	0.0406686	0.295052	0.0809217	0.0221125	0.0615446	0.187563	0.235025	0.205853	0.0496162	0.111157	0.0458786	0.676941	0.592179	0.257398	3.931466
69	-1147.311	-1132.574	-14.73703	2.357661	0.00464053	0.00964142	0.012987	0.00999261	0.00645231	0.0101088	1.41573	2.94139	3.96207	3.04853	1.96846	3.08399	0.00653426	1.99347	0.0572524	17.4665	0.710184	1.47552	1.98753	1.52926	0.987457	1.54705	2.35766	2.35766	0.0102066	0.092571	0.463288	0.0587006	0.0310896	0.0260603	0.182699	0.0997935	0.123016	0.0145827	0.0637973	0.100786	0.299745	0.0761179	0.0916116	0.0096634	0.0406686	0.278228	0.0965887	0.0285462	0.0738071	0.137583	0.282254	0.1575	0.0316966	0.091923	0.0600211	0.676941	0.572656	0.263519	4.240665
70	-1149.737	-1132.423	-17.31451	2.459605	0.00464053	0.00964142	0.0130183	0.00999261	0.00549771	0.00912013	1.41573	2.94139	3.9716	3.04853	1.67723	2.78236	0.00653426	1.99347	0.0572524	17.4665	0.710184	1.47552	1.99231	1.52926	0.841366	1.39574	2.45961	2.45961	0.00665849	0.109275	0.499463	0.0665417	0.0309535	0.0298015	0.175167	0.104525	0.123016	0.013717	0.0804937	0.0883538	0.315037	0.0627113	0.109336	0.00557257	0.0433747	0.219058	0.0833883	0.0326661	0.0660321	0.108089	0.303176	0.0997701	0.0281588	0.064667	0.0550064	0.791233	0.707497	0.325388	4.240665
71	-1147.202	-1133.158	-14.04374	2.17142	0.000646365	0.00136763	0.00184664	0.00141745	0.000587735	0.00108053	1.39406	2.94967	3.98278	3.05711	1.26761	2.33044	0.000926883	1.99907	0.0215327	46.441	0.697353	1.47552	1.99231	1.52926	0.634098	1.16576	2.17142	2.17142	0.00665849	0.125217	0.499463	0.0564565	0.0287887	0.0204734	0.175167	0.104525	0.110516	0.0157972	0.0804937	0.101776	0.315037	0.0663089	0.0856462	0.00515976	0.0429505	0.27673	0.108643	0.0390446	0.0613285	0.0845155	0.396249	0.0536773	0.0164036	0.0720426	0.0629016	0.618615	0.403424	0.421028	5.690499
72	-1152.786	-1140.166	-12.62024	2.047168	0.000798018	0.00136763	0.00184664	0.00141745	0.000860641	0.000879087	1.72114	2.94967	3.98278	3.05711	1.8562	1.89599	0.000926883	1.99907	0.0215327	46.441	0.860969	1.47552	1.99231	1.52926	0.928532	0.948433	2.04717	2.04717	0.00803255	0.121208	0.440428	0.0746848	0.0244947	0.0195149	0.197118	0.104525	0.0975176	0.0166708	0.0951487	0.0927788	0.275855	0.0623457	0.0977036	0.0048631	0.046332	0.27673	0.116195	0.0430127	0.0737643	0.0880589	0.44639	0.0681659	0.0189415	0.0617509	0.0637639	0.550971	0.419288	0.372593	5.690499
73	-1146.147	-1134.397	-11.75051	2.198002	0.00348568	0.00538526	0.00668033	0.0051277	0.00223403	0.00506988	2.07562	3.20677	3.97794	3.0534	1.3303	3.01897	0.00335305	1.99665	0.0409798	24.4023	1.03955	1.60608	1.99231	1.52926	0.666269	1.51202	2.198	2.198	0.00695163	0.118823	0.424801	0.0676223	0.0244947	0.0245732	0.145523	0.107522	0.108871	0.0194913	0.0814345	0.0890333	0.267864	0.0775816	0.086602	0.00424487	0.046332	0.242749	0.121063	0.039321	0.0671445	0.0705349	0.39811	0.0779083	0.0211168	0.0653026	0.0843773	0.404815	0.51182	0.459603	4.736435
74	-1146.297	-1135.346	-10.95113	2.257439	0.002979	0.00518701	0.00668033	0.00543438	0.00207854	0.00506988	1.77391	3.08872	3.97794	3.23602	1.23771	3.01897	0.00335305	1.99665	0.0409798	24.4023	0.888445	1.54695	1.99231	1.62073	0.619896	1.51202	2.25744	2.25744	0.00735025	0.118823	0.392802	0.0662731	0.0311516	0.0201091	0.177623	0.0981713	0.1271	0.0197506	0.0838968	0.108281	0.30586	0.0765917	0.0659691	0.00397105	0.046409	0.242749	0.112283	0.0371177	0.0493421	0.090978	0.3184	0.100383	0.0200938	0.106534	0.0820124	0.229042	0.591364	0.410318	4.736435
75	-1148.739	-1135.959	-12.77972	2.257439	0.00222821	0.0057763	0.00668033	0.00543438	0.00239969	0.00426138	1.32684	3.43962	3.97794	3.23602	1.42895	2.53753	0.00335305	1.99665	0.0409798	24.4023	0.664532	1.7227	1.99231	1.62073	0.715674	1.2709	2.25744	2.25744	0.00638835	0.108486	0.355576	0.0849294	0.0331149	0.0171818	0.151876	0.118739	0.1271	0.0137207	0.0874224	0.127535	0.320405	0.0824716	0.076168	0.00327475	0.0569848	0.310866	0.102148	0.0234778	0.0644024	0.0825022	0.337028	0.147091	0.0216231	0.127962	0.0843752	0.179571	0.826693	0.28779	4.736435
76	-1146.101	-1135.144	-10.95725	2.522772	0.00652872	0.0147557	0.0195736	0.0161502	0.00703117	0.0123038	1.32253	2.98909	3.96505	3.27157	1.42432	2.4924	0.00982455	1.99018	0.0702604	14.2328	0.664532	1.50192	1.99231	1.64386	0.715674	1.25235	2.52277	2.52277	0.00665307	0.108571	0.32394	0.087196	0.0293812	0.0129051	0.150101	0.0952597	0.112272	0.0172268	0.0650656	0.127535	0.27472	0.0824716	0.0866863	0.00358506	0.0458486	0.313706	0.0957003	0.0224527	0.0704592	0.0683527	0.21278	0.212907	0.017165	0.129969	0.109284	0.198663	0.800376	0.183777	3.93712
77	-1145.966	-1134.182	-11.78343	2.573247	0.00943397	0.0147557	0.0195736	0.0163652	0.00672322	0.0137192	1.91106	2.98909	3.96505	3.31513	1.36193	2.77913	0.00982455	1.99018	0.0702604	14.2328	0.960245	1.50192	1.99231	1.66575	0.684329	1.39642	2.57325	2.57325	0.00537051	0.110927	0.380509	0.0857408	0.0360714	0.0161077	0.187529	0.113693	0.144747	0.0172268	0.0794404	0.088132	0.261853	0.0710135	0.0803604	0.00401217	0.0466173	0.309944	0.0698876	0.0215281	0.106729	0.0345162	0.259187	0.212907	0.0154514	0.117002	0.10492	0.168494	0.742548	0.164248	3.93712
