Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
10	-1271.917	-1261.87	-10.04695	2.241064	0.00175995	0.00188145	0.00247947	0.00259317	0.00102017	0.00195675	2.66223	2.84601	3.75064	3.92262	1.54319	2.95993	0.00132129	1.99868	0.0257115	38.8931	1.332	1.42395	1.87656	1.96261	0.772106	1.48094	2.24106	2.24106	0.0101768	0.379814	0.180842	0.0723523	0.122978	0.0198554	0.260323	0.120557	0.0988651	0.0135126	0.0534497	0.0349229	0.047403	0.139159	0.0847726	0.0324492	0.0452067	0.327622	0.124875	0.0233131	0.0244035	0.238174	0.0378955	0.700155	0.145733	0.0393648	0.00887026	0.0391906	0.284306	0.144371	5.427536
11	-1236.057	-1229.115	-6.941304	2.081318	0.0115258	0.0194195	0.0255921	0.0238516	0.0105298	0.0158402	1.67874	2.82848	3.72753	3.47402	1.53368	2.30714	0.0136378	1.98636	0.0828596	12.0686	0.845133	1.42395	1.87656	1.74894	0.772106	1.16149	2.08132	2.08132	0.0111438	0.376655	0.330194	0.067131	0.101314	0.0216115	0.20449	0.122022	0.111908	0.00983742	0.05007	0.0442828	0.069713	0.134672	0.0857501	0.0449519	0.0477834	0.332789	0.143807	0.029724	0.0216889	0.187551	0.0262704	0.690374	0.125239	0.0408786	0.0123426	0.0340714	0.302996	0.305198	3.69258
12	-1218.757	-1208.193	-10.5639	2.318671	0.0105168	0.0199653	0.0255921	0.0238516	0.0125503	0.0158402	1.53179	2.90798	3.72753	3.47402	1.82796	2.30714	0.0136378	1.98636	0.0828596	12.0686	0.771153	1.46397	1.87656	1.74894	0.920256	1.16149	2.31867	2.31867	0.00781309	0.45743	0.347533	0.0837319	0.0900494	0.0206565	0.159554	0.0911293	0.103442	0.00926969	0.0553082	0.0442828	0.0814805	0.131865	0.0857501	0.0356973	0.054957	0.366504	0.108048	0.0338116	0.0222526	0.144055	0.0262704	0.690374	0.093688	0.0408786	0.0158681	0.0328353	0.478526	0.324996	3.69258
13	-1193.365	-1184.593	-8.772877	2.318671	0.0134025	0.0199653	0.0254368	0.0238516	0.0100561	0.0146272	1.95209	2.90798	3.70491	3.47402	1.46468	2.13047	0.0136378	1.98636	0.0828596	12.0686	0.982746	1.46397	1.86517	1.74894	0.737367	1.07255	2.31867	2.31867	0.00915507	0.183143	0.315175	0.144063	0.0869533	0.0188098	0.245022	0.0783521	0.0812215	0.00766183	0.0553082	0.0629632	0.105725	0.131865	0.0989678	0.0292469	0.0637391	0.325607	0.0913852	0.019065	0.0182428	0.137937	0.0208808	0.761995	0.0420945	0.0424504	0.0270431	0.0403518	0.477408	0.324996	3.69258
14	-1195.176	-1181.509	-13.66729	2.573834	0.00225058	0.00335263	0.00427142	0.00400524	0.00168864	0.00285646	1.96324	2.92459	3.72607	3.49387	1.47304	2.49176	0.0022901	1.99771	0.033858	29.5352	0.982746	1.46397	1.86517	1.74894	0.737367	1.24731	2.57383	2.57383	0.0107123	0.327422	0.344267	0.14884	0.103243	0.018343	0.245022	0.0848149	0.0812215	0.00756997	0.0700934	0.0527825	0.105725	0.121401	0.0886462	0.0245065	0.0787688	0.331662	0.0774469	0.0116685	0.0181935	0.114875	0.0163625	0.64476	0.0365033	0.043963	0.0270431	0.0553839	0.437219	0.339552	5.019471
15	-1189.311	-1179.339	-9.972263	1.999156	0.00676133	0.0117907	0.013243	0.0124177	0.00511761	0.0126906	1.8978	3.30946	3.7171	3.48546	1.43643	3.56207	0.00710014	1.9929	0.0596885	16.7536	0.952282	1.66063	1.86517	1.74894	0.720776	1.78738	1.99916	1.99916	0.0107123	0.475634	0.366099	0.113917	0.102387	0.0143718	0.245814	0.081647	0.0798763	0.00989365	0.0700934	0.0700596	0.1097	0.121401	0.0859651	0.0245065	0.0732825	0.326505	0.0856328	0.0127579	0.0146901	0.106013	0.0162722	0.537842	0.0492608	0.0433165	0.0272524	0.048171	0.619104	0.401194	4.178886
16	-1171.395	-1163.74	-7.655109	2.093893	0.011036	0.0185833	0.0208723	0.0195716	0.00895709	0.0112666	1.96134	3.30267	3.70947	3.4783	1.59188	2.00234	0.0111905	1.98881	0.0750117	13.3313	0.986188	1.66063	1.86517	1.74894	0.800416	1.0068	2.09389	2.09389	0.00869108	0.378977	0.290917	0.109863	0.127274	0.0116561	0.169129	0.131618	0.0798763	0.0149656	0.0836151	0.0925915	0.135977	0.112212	0.0859651	0.026474	0.0603422	0.265264	0.0645366	0.00798112	0.014028	0.124113	0.0116289	0.488138	0.0450636	0.0381409	0.0239149	0.0511553	0.648346	0.401194	3.840105
17	-1156.287	-1149.562	-6.724791	2.093893	0.0109291	0.0185833	0.0203259	0.0173786	0.00895709	0.0145481	1.94235	3.30267	3.61237	3.08856	1.59188	2.58552	0.0111905	1.98881	0.0750117	13.3313	0.976641	1.66063	1.81635	1.55297	0.800416	1.30003	2.09389	2.09389	0.0070461	0.378977	0.211591	0.0989786	0.112883	0.00992804	0.172251	0.114909	0.120334	0.0149656	0.0641267	0.0756881	0.18915	0.112212	0.086102	0.0252519	0.0487828	0.264947	0.0645366	0.00832137	0.0114954	0.112753	0.0221832	0.637694	0.0386495	0.0381409	0.0402549	0.060202	0.548864	0.298229	3.840105
18	-1156.026	-1143.944	-12.08195	2.309145	0.00143085	0.00323324	0.00353643	0.00302363	0.00118239	0.00253117	1.46837	3.31802	3.62916	3.10291	1.21339	2.59754	0.001947	1.99805	0.0312162	32.0347	0.7349	1.66063	1.81635	1.55297	0.607288	1.30003	2.30915	2.30915	0.00679652	0.43648	0.134974	0.13292	0.11711	0.00923448	0.232705	0.142158	0.125297	0.0135406	0.0679515	0.0923792	0.203277	0.120596	0.100024	0.0192566	0.0685169	0.236196	0.0675208	0.0102318	0.0142128	0.0811742	0.0312272	0.497126	0.0363042	0.0418386	0.0325886	0.0603318	0.793386	0.260352	5.139914
19	-1144.835	-1132.095	-12.73961	2.208722	0.00218549	0.00296072	0.00376752	0.00310121	0.00157453	0.00253117	2.2428	3.03835	3.86631	3.18252	1.61581	2.59754	0.001947	1.99805	0.0312162	32.0347	1.12249	1.52066	1.93504	1.59281	0.808694	1.30003	2.20872	2.20872	0.00560009	0.436544	0.167513	0.198171	0.111083	0.00693329	0.228663	0.111596	0.140451	0.00946951	0.0849829	0.0924103	0.276624	0.102203	0.0913955	0.017474	0.07798	0.236196	0.0691378	0.0110442	0.0120733	0.0744651	0.0382708	0.435397	0.0222363	0.0423462	0.0327183	0.0478203	0.83349	0.265982	5.139914
20	-1147.43	-1132.804	-14.62576	2.340027	0.000953036	0.0013541	0.00172309	0.00133773	0.000806181	0.0010751	2.13958	3.03996	3.86835	3.00321	1.80989	2.41361	0.000890467	1.99911	0.0211053	47.3816	1.07027	1.52066	1.93504	1.50227	0.905346	1.20734	2.34003	2.34003	0.00612143	0.545843	0.131931	0.155374	0.148227	0.0070111	0.231027	0.104382	0.133634	0.00920349	0.0627019	0.0838793	0.269607	0.0821057	0.0652462	0.020959	0.06221	0.236196	0.0776176	0.0111704	0.0125156	0.0573805	0.0481755	0.426661	0.0182884	0.0603883	0.0280343	0.0578426	0.786728	0.315941	5.720225
21	-1143.955	-1135.094	-8.860182	2.218378	0.00822366	0.0108123	0.0137587	0.0105437	0.00643729	0.00997773	2.30494	3.0305	3.85632	2.9552	1.80425	2.79657	0.00711031	1.99289	0.0597314	16.7416	1.15658	1.52066	1.93504	1.48287	0.905346	1.40328	2.21838	2.21838	0.0068321	0.481371	0.148302	0.144571	0.169154	0.0070111	0.18539	0.110957	0.121385	0.00761503	0.0627019	0.104968	0.30996	0.0836801	0.07269	0.0178549	0.0637614	0.236196	0.0774201	0.0117991	0.0181749	0.0634927	0.0481755	0.348884	0.014822	0.0741667	0.0189413	0.0495706	0.558374	0.386907	4.177821
22	-1138.987	-1132.003	-6.983694	2.221206	0.00390402	0.00632397	0.00804725	0.00635378	0.0035108	0.00583581	1.87361	3.03499	3.86203	3.0493	1.6849	2.80071	0.00415871	1.99584	0.0456474	21.907	0.938758	1.52066	1.93504	1.52783	0.844205	1.40328	2.22121	2.22121	0.00637625	0.446416	0.142669	0.125501	0.166311	0.00703351	0.209767	0.130384	0.121115	0.00684827	0.0673343	0.088717	0.283889	0.0836344	0.0788297	0.0183437	0.0720844	0.254057	0.092414	0.013252	0.0179131	0.0441519	0.0481755	0.270694	0.0152052	0.128924	0.0189413	0.0402518	0.49636	0.25152	4.576509
23	-1145.383	-1134.568	-10.81531	2.221206	0.000351133	0.000628309	0.000799523	0.00063127	0.000262759	0.00047803	1.6993	3.04069	3.86927	3.05502	1.27162	2.31342	0.000413182	1.99959	0.0143748	69.5664	0.849826	1.52066	1.93504	1.52783	0.63594	1.15695	2.22121	2.22121	0.00551423	0.579345	0.122535	0.18676	0.214132	0.00760089	0.17301	0.151506	0.116792	0.00804557	0.0777636	0.0875306	0.273348	0.0708589	0.107703	0.0182933	0.0734145	0.254057	0.0947593	0.0117417	0.0176962	0.047355	0.070119	0.294145	0.00912787	0.0935656	0.014751	0.0421557	0.529382	0.160707	6.289615
24	-1147.642	-1137.768	-9.87405	2.162829	0.00026004	0.000600436	0.000799523	0.00063127	0.000256358	0.00047803	1.25846	2.9058	3.86927	3.05502	1.24064	2.31342	0.000413182	1.99959	0.0143748	69.5664	0.629359	1.4532	1.93504	1.52783	0.620449	1.15695	2.16283	2.16283	0.00974341	0.642737	0.117211	0.175493	0.132801	0.00735396	0.206413	0.122804	0.116792	0.00804557	0.0975759	0.073314	0.283284	0.0698682	0.108374	0.0147867	0.0746349	0.23332	0.0703317	0.00943937	0.0110294	0.047355	0.0715461	0.209651	0.0120961	0.100242	0.0153087	0.0333115	0.620446	0.21354	6.289615
25	-1147.104	-1136.43	-10.67414	2.187115	0.000137956	0.000330177	0.000399677	0.000315568	0.000128152	0.000184653	1.33569	3.19677	3.86967	3.05534	1.24077	1.78781	0.000206547	1.99979	0.0101629	98.3972	0.667913	1.59855	1.93504	1.52783	0.620449	0.893997	2.18712	2.18712	0.00780212	0.572245	0.0826099	0.149278	0.154672	0.0130776	0.186319	0.108788	0.0743548	0.00776763	0.0975759	0.0679303	0.283284	0.0696385	0.0962634	0.0095089	0.0630512	0.321618	0.0866133	0.00708682	0.0153907	0.0384263	0.0715461	0.235475	0.0151741	0.0717406	0.0133982	0.0333115	0.720605	0.21354	6.80368
26	-1146.354	-1139.767	-6.586925	2.115835	0.00198376	0.00357787	0.00433099	0.00341957	0.00138868	0.00200094	1.77066	3.19353	3.86574	3.05223	1.23951	1.78599	0.00223819	1.99776	0.0334716	29.876	0.886322	1.59855	1.93504	1.52783	0.620449	0.893997	2.11583	2.11583	0.00539895	0.610929	0.0837566	0.12308	0.120175	0.0105672	0.200108	0.116087	0.0640721	0.00762922	0.0975759	0.0666811	0.233455	0.0868105	0.0908123	0.00993195	0.0657862	0.314233	0.0871541	0.00558943	0.0107144	0.0406596	0.0891634	0.276279	0.0167537	0.084873	0.0123656	0.0280718	0.64431	0.204035	5.036484
