Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	q_obscomm	sig0
10	-1485.665	-1460.242	-25.42331	1.056189	0.00738022	0.0136205	0.0136588	0.0125631	0.00594676	0.0105512	1.59455	2.9428	2.95109	2.71434	1.28484	2.27967	0.00921417	1.99079	0.0680324	14.6989	0.800965	1.47821	1.48237	1.36345	0.645393	1.14511	1.05619	1.05619	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.1126118	3.984896
11	-1465.616	-1441.193	-24.42275	1.117113	0.0131382	0.0220585	0.0258072	0.0223646	0.0105864	0.00938626	1.58879	2.66752	3.12085	2.70454	1.2802	1.13507	0.0164029	1.9836	0.0909356	10.9968	0.800965	1.34479	1.57333	1.36345	0.645393	0.572231	1.11711	1.11711	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	3.554692
12	-1440.014	-1411.997	-28.0175	1.33627	0.00296789	0.0054374	0.00653085	0.00551285	0.00260952	0.00211486	1.46508	2.68415	3.22392	2.72139	1.28818	1.04399	0.0040433	1.99596	0.0450083	22.2181	0.734026	1.34479	1.61523	1.36345	0.645393	0.523053	1.33627	1.33627	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	4.597414
13	-1401.486	-1367.043	-34.44334	1.92846	0.00303513	0.0054374	0.00745374	0.00551285	0.00260952	0.00533721	1.49827	2.68415	3.6795	2.72139	1.28818	2.63469	0.0040433	1.99596	0.0450083	22.2181	0.750655	1.34479	1.84348	1.36345	0.645393	1.32001	1.92846	1.92846	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	4.597414
14	-1391.207	-1351.526	-39.68093	2.119705	0.000364008	0.000578114	0.000695621	0.000596483	0.000243534	0.000498095	1.92897	3.06357	3.68626	3.16091	1.29054	2.63953	0.000377341	1.99962	0.013737	72.7959	0.964666	1.53207	1.84348	1.58075	0.645393	1.32001	2.11971	2.11971	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	6.356893
15	-1390.465	-1349.293	-41.17152	2.309348	0.000335653	0.000578114	0.000695621	0.000609094	0.000297767	0.000346765	1.77871	3.06357	3.68626	3.22774	1.57794	1.83759	0.000377341	1.99962	0.013737	72.7959	0.889521	1.53207	1.84348	1.61417	0.789118	0.918969	2.30935	2.30935	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	6.356893
16	-1390.13	-1350.406	-39.72406	2.183738	0.000290722	0.000578114	0.000695621	0.000609094	0.000297767	0.000292582	1.5406	3.06357	3.68626	3.22774	1.57794	1.55046	0.000377341	1.99962	0.013737	72.7959	0.770448	1.53207	1.84348	1.61417	0.789118	0.775377	2.18374	2.18374	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	6.356893
17	-1390.429	-1350.466	-39.96327	2.207067	0.000261207	0.000591824	0.000695621	0.000609094	0.000208363	0.000467792	1.3842	3.13622	3.68626	3.22774	1.10416	2.47894	0.000377341	1.99962	0.013737	72.7959	0.69223	1.56841	1.84348	1.61417	0.552187	1.23971	2.20707	2.20707	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	6.356893
18	-1398.895	-1353.222	-45.67366	2.207067	5.94356e-06	9.54982e-06	1.13058e-05	9.01775e-06	3.08485e-06	5.71525e-06	2.12779	3.41882	4.04745	3.22834	1.10437	2.04605	5.58661e-06	1.99999	0.00167132	598.329	1.0639	1.70941	2.02373	1.61417	0.552187	1.02303	2.20707	2.20707	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	9.479968
19	-1397.493	-1351.542	-45.95132	2.207067	2.10678e-06	5.53321e-06	6.55063e-06	5.22493e-06	1.78738e-06	3.59926e-06	1.30172	3.41882	4.04746	3.22834	1.10437	2.22388	3.23691e-06	2	0.00127219	786.049	0.650863	1.70941	2.02373	1.61417	0.552187	1.11194	2.20707	2.20707	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	9.884537
20	-1390.533	-1348.921	-41.61254	2.204726	6.24809e-05	0.000161382	0.000202874	0.000157603	8.24128e-05	0.000109106	1.20409	3.11005	3.90965	3.03722	1.5882	2.10262	0.000103776	1.9999	0.00720351	138.821	0.602076	1.55511	1.95492	1.51869	0.794143	1.05136	2.20473	2.20473	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	7.313953
21	-1389.329	-1347.745	-41.58391	2.204726	0.000118795	0.000217232	0.000273082	0.000232285	9.519e-05	0.000156836	1.70072	3.10999	3.90958	3.3255	1.36279	2.24534	0.000139689	1.99986	0.00835761	119.651	0.85042	1.55511	1.95492	1.66287	0.68144	1.12275	2.20473	2.20473	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	7.093634
22	-1389.869	-1347.849	-42.02006	2.229017	0.000118795	0.000217232	0.000273873	0.000232285	0.000104987	0.000176131	1.70072	3.10999	3.9209	3.3255	1.50304	2.52158	0.000139689	1.99986	0.00835761	119.651	0.85042	1.55511	1.96058	1.66287	0.751574	1.26088	2.22902	2.22902	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	0.101924	7.093634
23	-1386.695	-1349.739	-36.95552	2.229017	0.00519322	0.00949649	0.0117939	0.0101545	0.00481767	0.00574172	1.69565	3.10072	3.85085	3.31558	1.57302	1.87474	0.00610665	1.99389	0.0553414	18.0696	0.85042	1.55511	1.93132	1.66287	0.788921	0.940241	2.22902	2.22902	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	4.290996
