Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	q_obscomm	sig0
34	-1386.953	-1349.687	-37.26655	2.269022	0.00528115	0.0103496	0.0121348	0.0105736	0.00373491	0.00683858	1.67576	3.28405	3.85051	3.3551	1.18513	2.16995	0.00628317	1.99372	0.0561381	17.8132	0.840523	1.6472	1.93132	1.68284	0.594431	1.0884	2.26902	2.26902	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.1030833	4.269806
35	-1387.379	-1349.954	-37.42548	2.254906	0.00370366	0.00708728	0.00851013	0.00741523	0.00241024	0.00454544	1.67734	3.20974	3.85413	3.35826	1.09157	2.05857	0.00440638	1.99559	0.0469899	21.2812	0.840523	1.60841	1.93132	1.68284	0.546989	1.03156	2.25491	2.25491	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.1030833	4.533533
36	-1388.494	-1349.002	-39.49257	2.470792	0.00261877	0.00708728	0.00851013	0.00741523	0.00383699	0.00454544	1.18601	3.20974	3.85413	3.35826	1.73773	2.05857	0.00440638	1.99559	0.0469899	21.2812	0.594314	1.60841	1.93132	1.68284	0.870781	1.03156	2.47079	2.47079	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.1030833	4.533533
37	-1387.337	-1347.512	-39.82508	2.2902	0.000959952	0.00173124	0.00207881	0.00181135	0.000755029	0.00111034	1.78273	3.2151	3.86056	3.36387	1.40217	2.06201	0.00107637	1.99892	0.023205	43.0941	0.891844	1.60841	1.93132	1.68284	0.70146	1.03156	2.2902	2.2902	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.1030833	5.579604
38	-1389.7	-1352.275	-37.42528	2.06093	0.000971269	0.00173124	0.00207881	0.00181135	0.000709492	0.000854655	1.80375	3.2151	3.86056	3.36387	1.3176	1.58718	0.00107637	1.99892	0.023205	43.0941	0.902358	1.60841	1.93132	1.68284	0.659154	0.794018	2.06093	2.06093	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.101085	0.1010854	5.579604
39	-1388.679	-1351.675	-37.00357	2.256667	0.00587599	0.0105465	0.0126055	0.0112961	0.00403864	0.00612893	1.79467	3.22117	3.85004	3.45012	1.2335	1.87193	0.00652688	1.99347	0.05722	17.4764	0.900275	1.61586	1.93132	1.73071	0.618771	0.939029	2.25667	2.25667	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.0949385	0.09493854	4.241506
40	-1386.618	-1349.591	-37.02661	2.297008	0.00474334	0.00999558	0.0126055	0.0100551	0.00403864	0.00612893	1.44873	3.0529	3.85004	3.07107	1.2335	1.87193	0.00652688	1.99347	0.05722	17.4764	0.726739	1.53145	1.93132	1.54056	0.618771	0.939029	2.29701	2.29701	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	4.241506
41	-1387.717	-1351.472	-36.24484	2.25291	0.00962593	0.0202846	0.0264452	0.0204053	0.0093895	0.0174841	1.44385	3.04261	3.96668	3.06072	1.40839	2.62254	0.0132454	1.98675	0.0816507	12.2473	0.726739	1.53145	1.99656	1.54056	0.708888	1.32001	2.25291	2.25291	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	3.71437
42	-1387.476	-1351.438	-36.03781	2.25291	0.0111455	0.0202846	0.0264452	0.0204053	0.00955345	0.0120658	1.67178	3.04261	3.96668	3.06072	1.43298	1.80983	0.0132454	1.98675	0.0816507	12.2473	0.841464	1.53145	1.99656	1.54056	0.721266	0.910947	2.25291	2.25291	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	3.71437
43	-1389.218	-1349.911	-39.30713	2.40282	0.00173216	0.00363728	0.00474195	0.00384955	0.00197326	0.00160401	1.4569	3.05926	3.98839	3.2378	1.65968	1.34911	0.00237506	1.99762	0.034481	29.0015	0.729314	1.53145	1.99656	1.62082	0.830825	0.675355	2.40282	2.40282	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	4.992435
44	-1390.705	-1350.669	-40.03592	2.518017	0.00131749	0.00392668	0.00474195	0.00384955	0.00177114	0.00159454	1.10812	3.30267	3.98839	3.2378	1.48968	1.34114	0.00237506	1.99762	0.034481	29.0015	0.55472	1.6533	1.99656	1.62082	0.745725	0.67137	2.51802	2.51802	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	0.0997099	4.992435
45	-1390.187	-1352.541	-37.64614	2.294695	0.0033459	0.00630452	0.00711244	0.00618068	0.00201864	0.00313821	1.75151	3.3003	3.72322	3.23546	1.05672	1.64279	0.0038133	1.99619	0.0437069	22.8797	0.877429	1.6533	1.86517	1.62082	0.52937	0.822965	2.29469	2.29469	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	4.640916
46	-1394.88	-1349.889	-44.99082	2.429336	6.46491e-05	0.00010915	0.000123138	0.000107006	5.25411e-05	9.07467e-05	1.95841	3.30649	3.73021	3.24154	1.59163	2.74899	6.60197e-05	1.99993	0.00574552	174.049	0.979239	1.6533	1.86517	1.62082	0.795839	1.37454	2.42934	2.42934	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	7.649242
47	-1390.137	-1352.015	-38.12177	2.219776	0.00265826	0.00429914	0.00485007	0.00447874	0.00183811	0.00252992	2.04189	3.3023	3.72549	3.44025	1.41191	1.94331	0.00260034	1.9974	0.0360813	27.7152	1.02227	1.6533	1.86517	1.72237	0.706875	0.972921	2.21978	2.21978	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	4.925174
48	-1390.124	-1352.732	-37.39181	2.215	0.00191018	0.00429914	0.00485007	0.00447874	0.0014473	0.00224984	1.46726	3.3023	3.72549	3.44025	1.11171	1.72817	0.00260034	1.9974	0.0360813	27.7152	0.734587	1.6533	1.86517	1.72237	0.556579	0.865208	2.215	2.215	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	0.0964413	4.925174
49	-1390.582	-1353.558	-37.02397	2.092894	0.00192162	0.00429914	0.00485007	0.00387481	0.00206293	0.00353551	1.47605	3.3023	3.72549	2.97636	1.5846	2.71573	0.00260034	1.9974	0.0360813	27.7152	0.738987	1.6533	1.86517	1.49012	0.79333	1.35963	2.09289	2.09289	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.103845	0.1038449	4.925174
50	-1387.834	-1350.509	-37.32501	2.169988	0.00183523	0.0041937	0.00518211	0.00387481	0.0017943	0.00280094	1.4097	3.22131	3.98054	2.97636	1.37825	2.15149	0.00260034	1.9974	0.0360813	27.7152	0.705766	1.61275	1.99286	1.49012	0.690024	1.07714	2.16999	2.16999	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.1018682	4.925174
51	-1390.188	-1349.215	-40.97373	2.525491	0.00162752	0.0041937	0.00518211	0.0041149	0.00220439	0.00375769	1.25015	3.22131	3.98054	3.16078	1.69326	2.8864	0.00260034	1.9974	0.0360813	27.7152	0.625887	1.61275	1.99286	1.58245	0.847731	1.44508	2.52549	2.52549	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.101868	0.1018682	4.925174
52	-1389.678	-1349.599	-40.07866	2.319675	0.00120756	0.00188552	0.002561	0.00211669	0.00108941	0.00139587	1.87813	2.93258	3.98316	3.29212	1.69437	2.17102	0.00128509	1.99871	0.0253566	39.4375	0.939669	1.46723	1.99286	1.64712	0.847731	1.08621	2.31967	2.31967	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.1029773	5.448143
53	-1388.098	-1348.64	-39.45807	2.255536	0.000835999	0.00148179	0.00201264	0.00164072	0.000698153	0.00109699	1.65473	2.93298	3.98371	3.24754	1.38189	2.17132	0.00100992	1.99899	0.022477	44.4898	0.827783	1.46723	1.99286	1.62459	0.691292	1.08621	2.25554	2.25554	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.102977	0.1029773	5.626862
54	-1387.584	-1348.599	-38.9852	2.191252	0.000911004	0.00159651	0.00201264	0.00164072	0.000691488	0.00108803	1.80319	3.16005	3.98371	3.24754	1.36869	2.15358	0.00100992	1.99899	0.022477	44.4898	0.902052	1.58082	1.99286	1.62459	0.684692	1.07733	2.19125	2.19125	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.09906826	5.626862
55	-1388.225	-1348.45	-39.77542	2.195785	0.000280705	0.000582767	0.000707393	0.000598902	0.000256141	0.000287037	1.52261	3.16107	3.83707	3.24858	1.38937	1.55695	0.000368648	1.99963	0.0135778	73.6494	0.761444	1.58082	1.91889	1.62459	0.694812	0.77862	2.19578	2.19578	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.09906826	6.374175
56	-1385.263	-1348.18	-37.08322	2.195785	0.00336811	0.00699248	0.00848784	0.00718608	0.00327833	0.00497518	1.51952	3.15466	3.82929	3.242	1.47902	2.24455	0.00442331	1.99558	0.0470804	21.2403	0.761444	1.58082	1.91889	1.62459	0.741147	1.12476	2.19578	2.19578	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.0990683	0.09906826	4.530683
57	-1389.596	-1349.95	-39.64569	2.383437	0.00295548	0.0047495	0.00576519	0.00488099	0.00222673	0.00404605	1.96445	3.1569	3.83201	3.2443	1.48007	2.68933	0.00300444	1.997	0.0387877	25.7814	0.983705	1.58082	1.91889	1.62459	0.741147	1.34669	2.38344	2.38344	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.0930336	0.09303359	4.817943
58	-1389.84	-1351.742	-38.09785	2.195713	0.00297339	0.0047495	0.00576519	0.00488099	0.00222673	0.00404605	1.97636	3.1569	3.83201	3.2443	1.48007	2.68933	0.00300444	1.997	0.0387877	25.7814	0.989666	1.58082	1.91889	1.62459	0.741147	1.34669	2.19571	2.19571	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.108615	0.1086152	4.817943
59	-1387.735	-1350.748	-36.98658	2.232446	0.00893092	0.0132088	0.0164537	0.0135745	0.00660506	0.00865811	2.12877	3.14844	3.92191	3.23561	1.57438	2.06375	0.00835562	1.99164	0.0647714	15.4389	1.06885	1.58082	1.96918	1.62459	0.790493	1.0362	2.23245	2.23245	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.1020168	4.05772
60	-1390.26	-1351.168	-39.09158	2.467424	0.00968954	0.0128065	0.0164537	0.0135745	0.00660506	0.00809964	2.3096	3.05256	3.92191	3.23561	1.57438	1.93063	0.00835562	1.99164	0.0647714	15.4389	1.15964	1.53268	1.96918	1.62459	0.790493	0.969364	2.46742	2.46742	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.102017	0.1020168	4.05772
61	-1390.377	-1351.449	-38.92776	2.474197	0.00968954	0.0128065	0.0164537	0.0135745	0.00550198	0.00809964	2.3096	3.05256	3.92191	3.23561	1.31145	1.93063	0.00835562	1.99164	0.0647714	15.4389	1.15964	1.53268	1.96918	1.62459	0.658476	0.969364	2.4742	2.4742	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.09733842	4.05772
62	-1388.674	-1354.727	-33.94752	1.987093	0.00642064	0.0128065	0.0156628	0.0134773	0.00602232	0.00659392	1.53042	3.05256	3.73337	3.21244	1.43548	1.57172	0.00835562	1.99164	0.0647714	15.4389	0.768421	1.53268	1.87452	1.61296	0.720751	0.789159	1.98709	1.98709	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.09733842	4.05772
63	-1388.099	-1351.79	-36.30977	2.185074	0.00393322	0.0101731	0.012442	0.0107059	0.00593636	0.00727731	1.18123	3.05519	3.73659	3.21522	1.78281	2.18553	0.00663743	1.99336	0.0577041	17.3298	0.592581	1.53268	1.87452	1.61296	0.894375	1.0964	2.18507	2.18507	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.09733842	4.229014
64	-1386.487	-1348.946	-37.54138	2.307179	0.00584888	0.0101731	0.012923	0.0107059	0.00418266	0.00761101	1.75654	3.05519	3.88104	3.21522	1.25614	2.28575	0.00663743	1.99336	0.0577041	17.3298	0.881196	1.53268	1.94698	1.61296	0.630161	1.14668	2.30718	2.30718	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.09733842	4.229014
65	-1388.637	-1351.676	-36.96091	2.055314	0.00205026	0.00359937	0.00447303	0.00370564	0.00182177	0.00289084	1.78279	3.12981	3.88949	3.22222	1.58411	2.51371	0.00229742	1.9977	0.0339121	29.488	0.892419	1.5667	1.94698	1.61296	0.792965	1.2583	2.05531	2.05531	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.09733842	5.017102
66	-1387.773	-1348.921	-38.8512	2.461693	0.00665453	0.0123956	0.015371	0.0125906	0.00542233	0.00995551	1.67551	3.12101	3.87019	3.17012	1.36526	2.50664	0.00791188	1.99209	0.063021	15.8677	0.841081	1.5667	1.94278	1.59136	0.685341	1.2583	2.46169	2.46169	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.09733842	4.098338
67	-1392.45	-1358.163	-34.28703	2.008869	0.00573589	0.0163251	0.0202438	0.0161947	0.0105762	0.0121731	1.0952	3.11708	3.86532	3.09219	2.0194	2.32431	0.01042	1.98958	0.0723691	13.8181	0.550469	1.5667	1.94278	1.55419	1.01499	1.16824	2.00887	2.00887	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.0973384	0.09733842	3.893277
68	-1388.036	-1350.656	-37.3792	2.101518	0.000737366	0.00209864	0.0026024	0.00208188	0.000980817	0.00156489	1.1002	3.13131	3.88296	3.1063	1.46345	2.33492	0.00133952	1.99866	0.0258884	38.6273	0.550469	1.5667	1.94278	1.55419	0.732214	1.16824	2.10152	2.10152	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.09725046	5.417368
69	-1386.88	-1348.149	-38.73037	2.216833	0.0010731	0.00209864	0.0026024	0.00207638	0.000908266	0.00158777	1.60114	3.13131	3.88296	3.0981	1.35519	2.36907	0.00133952	1.99866	0.0258884	38.6273	0.801108	1.5667	1.94278	1.55009	0.678052	1.18533	2.21683	2.21683	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.09725046	5.417368
70	-1388.072	-1348.395	-39.67735	2.226915	0.000476538	0.0010936	0.00135612	0.00108201	0.000576105	0.000827392	1.36491	3.13231	3.8842	3.0991	1.65009	2.36983	0.000698028	1.9993	0.0186852	53.5183	0.682691	1.5667	1.94278	1.55009	0.825332	1.18533	2.22691	2.22691	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.0972505	0.09725046	5.900793
71	-1388.759	-1348.497	-40.26233	2.459706	0.00124262	0.00331134	0.00410621	0.00327623	0.0017444	0.00245408	1.17461	3.1301	3.88145	3.0969	1.64892	2.31976	0.00211357	1.99789	0.0325254	30.7452	0.587924	1.5667	1.94278	1.55009	0.825332	1.16111	2.45971	2.45971	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	5.078999
72	-1386.73	-1350.033	-36.69771	2.194859	0.00219573	0.0058512	0.00725574	0.00578915	0.00282465	0.00299445	1.17365	3.12756	3.8783	3.09439	1.50982	1.60058	0.00373472	1.99627	0.0432534	23.1196	0.587924	1.5667	1.94278	1.55009	0.756321	0.801786	2.19486	2.19486	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	4.656379
73	-1389.163	-1355.404	-33.75895	1.956917	0.00593984	0.0126994	0.0157478	0.0125647	0.00613059	0.00627678	1.45964	3.12071	3.86981	3.08762	1.50651	1.54244	0.0081058	1.99189	0.0637918	15.676	0.732789	1.5667	1.94278	1.55009	0.756321	0.774357	1.95692	1.95692	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	4.080315
