Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	lambda_obscomm	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
10	-1258.341	-1254.3	-4.041064	1.833506	0.0349562	0.0349562	0.0349562	0.0349562	0.0349562	0.0349562	3.26524	3.26524	3.26524	3.26524	3.26524	3.26524	0.0211843	1.97882	0.103468	9.66486	1.6501	1.6501	1.6501	1.6501	1.6501	1.6501	1.6501	1.83351	1.83351	0.017851	0.0677594	0.0136076	0.220355	0.28005	0.017851	0.116171	0.0729614	0.166863	0.0589554	0.0677594	0.116171	0.289026	0.0709091	0.0890144	0.0136076	0.0729614	0.289026	0.0868296	0.0210005	0.220355	0.166863	0.0709091	0.0868296	0.0837778	0.28005	0.0589554	0.0890144	0.0210005	0.0837778	3.363278
11	-1245.453	-1237.195	-8.257599	2.172405	0.00695449	0.00695449	0.00695449	0.00695449	0.00695449	0.00695449	3.34945	3.34945	3.34945	3.34945	3.34945	3.34945	0.004144	1.99586	0.0455665	21.946	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.17241	2.17241	0.0168093	0.0482933	0.0137982	0.186631	0.28005	0.0168093	0.115609	0.0729614	0.154708	0.0584448	0.0482933	0.115609	0.293555	0.0662729	0.0676059	0.0137982	0.0729614	0.293555	0.102422	0.0189296	0.186631	0.154708	0.0662729	0.102422	0.0570883	0.28005	0.0584448	0.0676059	0.0189296	0.0570883	4.57914
12	-1246.781	-1240.006	-6.775389	2.049159	0.00695449	0.00695449	0.00695449	0.00695449	0.00695449	0.00695449	3.34945	3.34945	3.34945	3.34945	3.34945	3.34945	0.004144	1.99586	0.0455665	21.946	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.04916	2.04916	0.016921	0.0407667	0.0129014	0.159695	0.339808	0.016921	0.115609	0.0917407	0.154708	0.0456205	0.0407667	0.115609	0.261354	0.0600906	0.0556869	0.0129014	0.0917407	0.261354	0.10267	0.0187726	0.159695	0.154708	0.0600906	0.10267	0.0358776	0.339808	0.0456205	0.0556869	0.0187726	0.0358776	4.57914
13	-1238.824	-1232.021	-6.803359	2.090833	0.00695449	0.00695449	0.00695449	0.00695449	0.00695449	0.00695449	3.34945	3.34945	3.34945	3.34945	3.34945	3.34945	0.004144	1.99586	0.0455665	21.946	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.09083	2.09083	0.016921	0.058208	0.0129014	0.139634	0.321487	0.016921	0.114794	0.0920746	0.0906494	0.0486768	0.058208	0.114794	0.288404	0.0546993	0.0792817	0.0129014	0.0920746	0.288404	0.0963485	0.0187726	0.139634	0.0906494	0.0546993	0.0963485	0.0407946	0.321487	0.0486768	0.0792817	0.0187726	0.0407946	4.57914
14	-1235.186	-1228.864	-6.321677	2.120163	0.00695449	0.00695449	0.00695449	0.00695449	0.00695449	0.00695449	3.34945	3.34945	3.34945	3.34945	3.34945	3.34945	0.004144	1.99586	0.0455665	21.946	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.12016	2.12016	0.0120451	0.0737435	0.0080546	0.0948294	0.286281	0.0120451	0.102662	0.0821603	0.12683	0.0486768	0.0737435	0.102662	0.283522	0.0581597	0.0699079	0.0080546	0.0821603	0.283522	0.105492	0.0160788	0.0948294	0.12683	0.0581597	0.105492	0.0225131	0.286281	0.0486768	0.0699079	0.0160788	0.0225131	4.57914
15	-1237.585	-1231.432	-6.152877	2.120163	0.00695449	0.00695449	0.00695449	0.00695449	0.00695449	0.00695449	3.34945	3.34945	3.34945	3.34945	3.34945	3.34945	0.004144	1.99586	0.0455665	21.946	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.12016	2.12016	0.0149219	0.0622958	0.00796983	0.0819954	0.286281	0.0149219	0.109077	0.082077	0.0932494	0.061679	0.0622958	0.109077	0.315845	0.0581597	0.0715023	0.00796983	0.082077	0.315845	0.0876712	0.0160394	0.0819954	0.0932494	0.0581597	0.0876712	0.0234929	0.286281	0.061679	0.0715023	0.0160394	0.0234929	4.57914
16	-1232.847	-1226.886	-5.96078	2.047087	0.00510139	0.00510139	0.00510139	0.00510139	0.00510139	0.00510139	3.35131	3.35131	3.35131	3.35131	3.35131	3.35131	0.00303979	1.99696	0.0390155	25.6308	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.04709	2.04709	0.0142169	0.0661505	0.00931585	0.0526389	0.30088	0.0142169	0.0930418	0.116712	0.0852633	0.0404868	0.0661505	0.0930418	0.326881	0.0745241	0.0664419	0.00931585	0.116712	0.326881	0.0876712	0.023125	0.0526389	0.0852633	0.0745241	0.0876712	0.0234929	0.30088	0.0404868	0.0664419	0.023125	0.0234929	4.809259
17	-1231.791	-1224.65	-7.141459	2.276483	0.00810469	0.00810469	0.00810469	0.00810469	0.00810469	0.00810469	3.3483	3.3483	3.3483	3.3483	3.3483	3.3483	0.00482938	1.99517	0.0491989	20.3256	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.27648	2.27648	0.0168689	0.0553701	0.011098	0.0471396	0.322097	0.0168689	0.115203	0.105958	0.11207	0.0380731	0.0553701	0.115203	0.275756	0.0744666	0.0664419	0.011098	0.105958	0.275756	0.0642581	0.0176364	0.0471396	0.11207	0.0744666	0.0642581	0.0243677	0.322097	0.0380731	0.0664419	0.0176364	0.0243677	4.465424
18	-1236.113	-1228.788	-7.324698	2.276483	0.00810469	0.00810469	0.00810469	0.00810469	0.00810469	0.00810469	3.3483	3.3483	3.3483	3.3483	3.3483	3.3483	0.00482938	1.99517	0.0491989	20.3256	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.27648	2.27648	0.0181945	0.0553701	0.007366	0.0682689	0.320399	0.0181945	0.115203	0.087342	0.149442	0.0356249	0.0553701	0.115203	0.275756	0.0624115	0.0700791	0.007366	0.087342	0.275756	0.0642581	0.0139344	0.0682689	0.149442	0.0624115	0.0642581	0.0234554	0.320399	0.0356249	0.0700791	0.0139344	0.0234554	4.465424
19	-1235.011	-1226.893	-8.11788	2.276483	0.00671049	0.00671049	0.00671049	0.00671049	0.00671049	0.00671049	3.3497	3.3497	3.3497	3.3497	3.3497	3.3497	0.00399861	1.996	0.0447584	22.3422	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.27648	2.27648	0.0112828	0.0498259	0.0115565	0.0590834	0.332925	0.0112828	0.115203	0.11829	0.159994	0.0332113	0.0498259	0.115203	0.283078	0.0817436	0.0701635	0.0115565	0.11829	0.283078	0.0642581	0.0139344	0.0590834	0.159994	0.0817436	0.0642581	0.0240913	0.332925	0.0332113	0.0701635	0.0139344	0.0240913	4.60567
