Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	lambda_obscomm	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	q_obscomm	sig0
86	-1424.627	-1396.123	-28.50346	2.338204	0.00296898	0.00296898	0.00296898	0.00296898	0.00296898	0.00296898	3.42774	3.42774	3.42774	3.42774	3.42774	3.42774	0.00173083	1.99827	0.0294306	33.9782	1.71535	1.71535	1.71535	1.71535	1.71535	1.71535	1.715355	2.3382	2.3382	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.0937588	0.09375882	5.227238
87	-1424.735	-1395.771	-28.96352	2.427005	0.00395269	0.00395269	0.00395269	0.00395269	0.00395269	0.00395269	3.42676	3.42676	3.42676	3.42676	3.42676	3.42676	0.0023043	1.9977	0.0339629	29.4439	1.71535	1.71535	1.71535	1.71535	1.71535	1.71535	1.715355	2.42701	2.42701	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.0957981	0.09579814	5.014882
88	-1423.771	-1395.936	-27.83507	2.355199	0.0059392	0.0059392	0.0059392	0.0059392	0.0059392	0.0059392	3.42477	3.42477	3.42477	3.42477	3.42477	3.42477	0.00346237	1.99654	0.0416436	24.0133	1.71535	1.71535	1.71535	1.71535	1.71535	1.71535	1.715355	2.3552	2.3552	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.0993473	0.09934733	4.712611
89	-1424.471	-1397.311	-27.1591	2.355199	0.00965	0.00965	0.00965	0.00965	0.00965	0.00965	3.40628	3.40628	3.40628	3.40628	3.40628	3.40628	0.00565	1.99435	0.053226	18.7878	1.70797	1.70797	1.70797	1.70797	1.70797	1.70797	1.707966	2.3552	2.3552	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	4.348782
90	-1424.313	-1396.583	-27.7301	2.306678	0.00432958	0.00432958	0.00432958	0.00432958	0.00432958	0.00432958	3.4116	3.4116	3.4116	3.4116	3.4116	3.4116	0.00253493	1.99747	0.0356241	28.0709	1.70797	1.70797	1.70797	1.70797	1.70797	1.70797	1.707966	2.30668	2.30668	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	0.0932551	4.944083
91	-1424.56	-1397.186	-27.37414	2.306678	0.00620909	0.00620909	0.00620909	0.00620909	0.00620909	0.00620909	3.40972	3.40972	3.40972	3.40972	3.40972	3.40972	0.00363537	1.99636	0.0426731	23.434	1.70797	1.70797	1.70797	1.70797	1.70797	1.70797	1.707966	2.30668	2.30668	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.104082	0.1040822	4.676404
92	-1424.664	-1398.552	-26.11138	2.126659	0.00462096	0.00462096	0.00462096	0.00462096	0.00462096	0.00462096	3.41131	3.41131	3.41131	3.41131	3.41131	3.41131	0.00270553	1.99729	0.0368049	27.1703	1.70797	1.70797	1.70797	1.70797	1.70797	1.70797	1.707966	2.12666	2.12666	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.1030279	4.895738
93	-1424.663	-1398.553	-26.10985	2.126659	0.0046266	0.0046266	0.0046266	0.0046266	0.0046266	0.0046266	3.4113	3.4113	3.4113	3.4113	3.4113	3.4113	0.00270884	1.99729	0.0368274	27.1537	1.70797	1.70797	1.70797	1.70797	1.70797	1.70797	1.707966	2.12666	2.12666	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.103028	0.1030279	4.894831
94	-1423.827	-1395.939	-27.88804	2.367844	0.00617765	0.00617765	0.00617765	0.00617765	0.00617765	0.00617765	3.40975	3.40975	3.40975	3.40975	3.40975	3.40975	0.00361696	1.99638	0.0425647	23.4936	1.70797	1.70797	1.70797	1.70797	1.70797	1.70797	1.707966	2.36784	2.36784	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.09914012	4.680173
95	-1424.695	-1395.294	-29.40096	2.308634	0.00121274	0.00121274	0.00121274	0.00121274	0.00121274	0.00121274	3.41472	3.41472	3.41472	3.41472	3.41472	3.41472	0.000710048	1.99929	0.0188454	53.0633	1.70797	1.70797	1.70797	1.70797	1.70797	1.70797	1.707966	2.30863	2.30863	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.09914012	5.888133
96	-1425.052	-1395.137	-29.91476	2.365554	0.00121274	0.00121274	0.00121274	0.00121274	0.00121274	0.00121274	3.41472	3.41472	3.41472	3.41472	3.41472	3.41472	0.000710048	1.99929	0.0188454	53.0633	1.70797	1.70797	1.70797	1.70797	1.70797	1.70797	1.707966	2.36555	2.36555	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.0991401	0.09914012	5.888133
97	-1424.451	-1397.244	-27.20716	2.365554	0.0100309	0.0100309	0.0100309	0.0100309	0.0100309	0.0100309	3.4059	3.4059	3.4059	3.4059	3.4059	3.4059	0.005873	1.99413	0.0542692	18.4267	1.70797	1.70797	1.70797	1.70797	1.70797	1.70797	1.707966	2.36555	2.36555	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.09362928	4.320004
98	-1424.854	-1396.072	-28.78153	2.365554	0.00287121	0.00287121	0.00287121	0.00287121	0.00287121	0.00287121	3.41306	3.41306	3.41306	3.41306	3.41306	3.41306	0.00168107	1.99832	0.0290042	34.4778	1.70797	1.70797	1.70797	1.70797	1.70797	1.70797	1.707966	2.36555	2.36555	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.09362928	5.248879
99	-1424.854	-1396.072	-28.78153	2.365554	0.00287121	0.00287121	0.00287121	0.00287121	0.00287121	0.00287121	3.41306	3.41306	3.41306	3.41306	3.41306	3.41306	0.00168107	1.99832	0.0290042	34.4778	1.70797	1.70797	1.70797	1.70797	1.70797	1.70797	1.707966	2.36555	2.36555	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.09362928	5.248879
100	-1424.338	-1396.652	-27.68629	2.244221	0.00287121	0.00287121	0.00287121	0.00287121	0.00287121	0.00287121	3.41306	3.41306	3.41306	3.41306	3.41306	3.41306	0.00168107	1.99832	0.0290042	34.4778	1.70797	1.70797	1.70797	1.70797	1.70797	1.70797	1.707966	2.24422	2.24422	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.09362928	5.248879
101	-1424.454	-1398.633	-25.82151	2.124005	0.00533619	0.00533619	0.00533619	0.00533619	0.00533619	0.00533619	3.4106	3.4106	3.4106	3.4106	3.4106	3.4106	0.00312429	1.99688	0.0395549	25.2813	1.70797	1.70797	1.70797	1.70797	1.70797	1.70797	1.707966	2.12401	2.12401	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.09362928	4.788902
102	-1424.622	-1398.229	-26.39242	2.190727	0.00517138	0.00517138	0.00517138	0.00517138	0.00517138	0.00517138	3.30526	3.30526	3.30526	3.30526	3.30526	3.30526	0.00312429	1.99688	0.0395549	25.2813	1.65522	1.65522	1.65522	1.65522	1.65522	1.65522	1.655217	2.19073	2.19073	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.0936293	0.09362928	4.788902
103	-1425.047	-1399.832	-25.21513	2.052123	0.00517138	0.00517138	0.00517138	0.00517138	0.00517138	0.00517138	3.30526	3.30526	3.30526	3.30526	3.30526	3.30526	0.00312429	1.99688	0.0395549	25.2813	1.65522	1.65522	1.65522	1.65522	1.65522	1.65522	1.655217	2.05212	2.05212	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.1018105	4.788902
104	-1424.57	-1397.653	-26.917	2.208933	0.00411863	0.00411863	0.00411863	0.00411863	0.00411863	0.00411863	3.30632	3.30632	3.30632	3.30632	3.30632	3.30632	0.00248827	1.99751	0.0352943	28.3332	1.65522	1.65522	1.65522	1.65522	1.65522	1.65522	1.655217	2.20893	2.20893	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.101811	0.1018105	4.957873
105	-1424.545	-1397.695	-26.85005	2.208933	0.00411863	0.00411863	0.00411863	0.00411863	0.00411863	0.00411863	3.30632	3.30632	3.30632	3.30632	3.30632	3.30632	0.00248827	1.99751	0.0352943	28.3332	1.65522	1.65522	1.65522	1.65522	1.65522	1.65522	1.655217	2.20893	2.20893	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	0.0943931	4.957873
106	-1426.596	-1400.581	-26.01514	2.121048	0.00411863	0.00411863	0.00411863	0.00411863	0.00411863	0.00411863	3.30632	3.30632	3.30632	3.30632	3.30632	3.30632	0.00248827	1.99751	0.0352943	28.3332	1.65522	1.65522	1.65522	1.65522	1.65522	1.65522	1.655217	2.12105	2.12105	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.0897851	0.08978512	4.957873
107	-1425.078	-1400.641	-24.4367	2.121048	0.0157785	0.0157785	0.0157785	0.0157785	0.0157785	0.0157785	3.29466	3.29466	3.29466	3.29466	3.29466	3.29466	0.0095326	1.99047	0.0692035	14.4501	1.65522	1.65522	1.65522	1.65522	1.65522	1.65522	1.655217	2.12105	2.12105	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.1023662	3.959591
108	-1424.787	-1399.74	-25.04767	2.121048	0.009678	0.009678	0.009678	0.009678	0.009678	0.009678	3.29272	3.29272	3.29272	3.29272	3.29272	3.29272	0.00586119	1.99414	0.0542145	18.4453	1.6512	1.6512	1.6512	1.6512	1.6512	1.6512	1.651201	2.12105	2.12105	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.102366	0.1023662	4.3215
109	-1425.991	-1396.751	-29.2404	2.306061	0.00128475	0.00128475	0.00128475	0.00128475	0.00128475	0.00128475	3.30112	3.30112	3.30112	3.30112	3.30112	3.30112	0.00077807	1.99922	0.0197278	50.6899	1.6512	1.6512	1.6512	1.6512	1.6512	1.6512	1.651201	2.30606	2.30606	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.1004088	5.82029
110	-1424.766	-1395.654	-29.11152	2.289483	0.00131171	0.00131171	0.00131171	0.00131171	0.00131171	0.00131171	3.37039	3.37039	3.37039	3.37039	3.37039	3.37039	0.00077807	1.99922	0.0197278	50.6899	1.68585	1.68585	1.68585	1.68585	1.68585	1.68585	1.685849	2.28948	2.28948	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.1004088	5.82029
111	-1424.913	-1395.574	-29.33876	2.314657	0.00131171	0.00131171	0.00131171	0.00131171	0.00131171	0.00131171	3.37039	3.37039	3.37039	3.37039	3.37039	3.37039	0.00077807	1.99922	0.0197278	50.6899	1.68585	1.68585	1.68585	1.68585	1.68585	1.68585	1.685849	2.31466	2.31466	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.1004088	5.82029
112	-1430.977	-1395.36	-35.61723	2.314657	8.86801e-06	8.86801e-06	8.86801e-06	8.86801e-06	8.86801e-06	8.86801e-06	3.37169	3.37169	3.37169	3.37169	3.37169	3.37169	5.26026e-06	1.99999	0.00162177	616.61	1.68585	1.68585	1.68585	1.68585	1.68585	1.68585	1.685849	2.31466	2.31466	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.1004088	9.524588
113	-1430.512	-1396.281	-34.23118	2.188274	1.07007e-05	1.07007e-05	1.07007e-05	1.07007e-05	1.07007e-05	1.07007e-05	3.35799	3.35799	3.35799	3.35799	3.35799	3.35799	6.37323e-06	1.99999	0.00178511	560.189	1.679	1.679	1.679	1.679	1.679	1.679	1.679	2.18827	2.18827	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.1004088	9.382313
114	-1430.235	-1400.733	-29.50263	1.968766	9.52691e-05	9.52691e-05	9.52691e-05	9.52691e-05	9.52691e-05	9.52691e-05	3.3579	3.3579	3.3579	3.3579	3.3579	3.3579	5.67416e-05	1.99994	0.0053265	187.741	1.679	1.679	1.679	1.679	1.679	1.679	1.679	1.96877	1.96877	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.100409	0.1004088	7.761513
115	-1425.297	-1396.234	-29.06283	2.232324	0.000905261	0.000905261	0.000905261	0.000905261	0.000905261	0.000905261	3.35709	3.35709	3.35709	3.35709	3.35709	3.35709	0.000539167	1.99946	0.0164212	60.8968	1.679	1.679	1.679	1.679	1.679	1.679	1.679	2.23232	2.23232	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.1015555	6.092281
116	-1425.297	-1396.234	-29.06283	2.232324	0.000905261	0.000905261	0.000905261	0.000905261	0.000905261	0.000905261	3.35709	3.35709	3.35709	3.35709	3.35709	3.35709	0.000539167	1.99946	0.0164212	60.8968	1.679	1.679	1.679	1.679	1.679	1.679	1.679	2.23232	2.23232	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.101555	0.1015555	6.092281
117	-1423.485	-1397.484	-26.00075	2.232324	0.0102038	0.0102038	0.0102038	0.0102038	0.0102038	0.0102038	3.3478	3.3478	3.3478	3.3478	3.3478	3.3478	0.00607733	1.99392	0.055208	18.1133	1.679	1.679	1.679	1.679	1.679	1.679	1.679	2.23232	2.23232	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.0998799	0.09987987	4.294575
118	-1423.461	-1397.333	-26.12835	2.242418	0.00966792	0.00966792	0.00966792	0.00966792	0.00966792	0.00966792	3.34833	3.34833	3.34833	3.34833	3.34833	3.34833	0.00575814	1.99424	0.0537344	18.6101	1.679	1.679	1.679	1.679	1.679	1.679	1.679	2.24242	2.24242	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.0963889	0.09638893	4.334687
119	-1424.718	-1396.064	-28.65384	2.242418	0.00129121	0.00129121	0.00129121	0.00129121	0.00129121	0.00129121	3.35671	3.35671	3.35671	3.35671	3.35671	3.35671	0.000769033	1.99923	0.0196129	50.9869	1.679	1.679	1.679	1.679	1.679	1.679	1.679	2.24242	2.24242	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.09559537	5.828953
120	-1425.632	-1396.205	-29.42731	2.429472	0.00267359	0.00267359	0.00267359	0.00267359	0.00267359	0.00267359	3.35533	3.35533	3.35533	3.35533	3.35533	3.35533	0.00159237	1.99841	0.028228	35.4258	1.679	1.679	1.679	1.679	1.679	1.679	1.679	2.42947	2.42947	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.09559537	5.289095
121	-1423.988	-1396.477	-27.51117	2.217198	0.00267359	0.00267359	0.00267359	0.00267359	0.00267359	0.00267359	3.35533	3.35533	3.35533	3.35533	3.35533	3.35533	0.00159237	1.99841	0.028228	35.4258	1.679	1.679	1.679	1.679	1.679	1.679	1.679	2.2172	2.2172	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.09559537	5.289095
122	-1424.39	-1396.042	-28.34761	2.263358	0.00191468	0.00191468	0.00191468	0.00191468	0.00191468	0.00191468	3.35608	3.35608	3.35608	3.35608	3.35608	3.35608	0.00114037	1.99886	0.0238854	41.8666	1.679	1.679	1.679	1.679	1.679	1.679	1.679	2.26336	2.26336	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.09559537	5.536761
123	-1423.772	-1398.67	-25.10166	2.114541	0.00868702	0.00868702	0.00868702	0.00868702	0.00868702	0.00868702	3.34931	3.34931	3.34931	3.34931	3.34931	3.34931	0.00517393	1.99483	0.0509281	19.6355	1.679	1.679	1.679	1.679	1.679	1.679	1.679	2.11454	2.11454	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.09559537	4.414211
124	-1424.914	-1396.57	-28.34377	2.323516	0.00318376	0.00318376	0.00318376	0.00318376	0.00318376	0.00318376	3.49528	3.49528	3.49528	3.49528	3.49528	3.49528	0.00182009	1.99818	0.0301807	33.1338	1.74923	1.74923	1.74923	1.74923	1.74923	1.74923	1.749233	2.32352	2.32352	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.09559537	5.189929
125	-1425.56	-1397.703	-27.85714	2.206744	0.00202744	0.00202744	0.00202744	0.00202744	0.00202744	0.00202744	3.49644	3.49644	3.49644	3.49644	3.49644	3.49644	0.00115905	1.99884	0.0240803	41.5278	1.74923	1.74923	1.74923	1.74923	1.74923	1.74923	1.749233	2.20674	2.20674	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.0955954	0.09559537	5.524714
