Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	lambda_obscomm	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	q_obscomm	sig0
10	-1973.045	-1972.274	-0.7712487	0.1536191	1.27619	1.27619	1.27619	1.27619	1.27619	1.27619	2.3967	2.3967	2.3967	2.3967	2.3967	2.3967	0.694923	1.30508	0.72971	1.37041	1.83645	1.83645	1.83645	1.83645	1.83645	1.83645	1.836447	0.153619	0.153619	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.0923346	0.09233459	0.4671798
11	-1944.638	-1942.86	-1.778106	0.218368	1.03687	1.03687	1.03687	1.03687	1.03687	1.03687	2.63602	2.63602	2.63602	2.63602	2.63602	2.63602	0.564609	1.43539	0.627175	1.59445	1.83645	1.83645	1.83645	1.83645	1.83645	1.83645	1.836447	0.218368	0.218368	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.0969744	0.09697437	0.6916773
12	-1933.657	-1931.553	-2.104408	0.2499191	1.03687	1.03687	1.03687	1.03687	1.03687	1.03687	2.63602	2.63602	2.63602	2.63602	2.63602	2.63602	0.564609	1.43539	0.627175	1.59445	1.83645	1.83645	1.83645	1.83645	1.83645	1.83645	1.836447	0.249919	0.249919	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.101572	0.1015716	0.6916773
13	-1917.874	-1915.443	-2.43083	0.2890183	1.01937	1.01937	1.01937	1.01937	1.01937	1.01937	2.65352	2.65352	2.65352	2.65352	2.65352	2.65352	0.555078	1.44492	0.619804	1.61341	1.83645	1.83645	1.83645	1.83645	1.83645	1.83645	1.836447	0.289018	0.289018	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.095343	0.09534299	0.709205
14	-1795.632	-1790.517	-5.115304	0.4611568	0.504614	0.504614	0.504614	0.504614	0.504614	0.504614	3.16828	3.16828	3.16828	3.16828	3.16828	3.16828	0.274777	1.72522	0.399087	2.50572	1.83645	1.83645	1.83645	1.83645	1.83645	1.83645	1.836447	0.461157	0.461157	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	1.361881
15	-1749.772	-1744.404	-5.368227	0.4951557	0.478099	0.478099	0.478099	0.478099	0.478099	0.478099	3.0018	3.0018	3.0018	3.0018	3.0018	3.0018	0.274777	1.72522	0.399087	2.50572	1.73995	1.73995	1.73995	1.73995	1.73995	1.73995	1.73995	0.495156	0.495156	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	0.0980454	1.361881
16	-1680.346	-1673.772	-6.574137	0.5670757	0.286657	0.286657	0.286657	0.286657	0.286657	0.286657	3.01214	3.01214	3.01214	3.01214	3.01214	3.01214	0.173795	1.82621	0.308492	3.24158	1.6494	1.6494	1.6494	1.6494	1.6494	1.6494	1.6494	0.567076	0.567076	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	0.09396	1.743629
17	-1603.127	-1593.567	-9.560592	0.7164213	0.0834937	0.0834937	0.0834937	0.0834937	0.0834937	0.0834937	3.15144	3.15144	3.15144	3.15144	3.15144	3.15144	0.05162	1.94838	0.162769	6.14367	1.61747	1.61747	1.61747	1.61747	1.61747	1.61747	1.617468	0.716421	0.716421	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.0996384	0.09963844	2.691549
18	-1553.847	-1542.432	-11.41548	0.865908	0.0564915	0.0564915	0.0564915	0.0564915	0.0564915	0.0564915	3.17844	3.17844	3.17844	3.17844	3.17844	3.17844	0.0349259	1.96507	0.133317	7.50094	1.61747	1.61747	1.61747	1.61747	1.61747	1.61747	1.617468	0.865908	0.865908	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.1000734	2.987485
19	-1426.076	-1400.135	-25.94175	2.13049	0.00482593	0.00482593	0.00482593	0.00482593	0.00482593	0.00482593	3.23011	3.23011	3.23011	3.23011	3.23011	3.23011	0.00298363	1.99702	0.0386529	25.8713	1.61747	1.61747	1.61747	1.61747	1.61747	1.61747	1.617468	2.13049	2.13049	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.100073	0.1000734	4.823104
20	-1426.003	-1399.903	-26.1002	2.148846	0.00482593	0.00482593	0.00482593	0.00482593	0.00482593	0.00482593	3.23011	3.23011	3.23011	3.23011	3.23011	3.23011	0.00298363	1.99702	0.0386529	25.8713	1.61747	1.61747	1.61747	1.61747	1.61747	1.61747	1.617468	2.14885	2.14885	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.09927119	4.823104
