Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	lambda_obscomm	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
10	-1365.474	-1374.517	9.043092	0.8800916	0.232137	0.232137	0.232137	0.232137	0.232137	0.232137	2.80323	2.80323	2.80323	2.80323	2.80323	2.80323	0.152955	1.84705	0.287768	3.47502	1.51768	1.51768	1.51768	1.51768	1.51768	1.51768	1.517684	0.880092	0.880092	0.0671809	0.0366127	0.136555	0.133545	0.0552134	0.0289586	0.182813	0.0816552	0.153688	0.051607	0.0747762	0.0907588	0.306686	0.0204525	0.0943152	0.0155539	0.058197	0.271761	0.0991539	0.032092	0.119634	0.212979	0.222591	0.163923	0.0957719	0.0342792	0.718182	1.27863	0.270812	0.000823667	1.846729
11	-1302.231	-1308.601	6.369888	1.034411	0.0920044	0.0920044	0.0920044	0.0920044	0.0920044	0.0920044	2.94336	2.94336	2.94336	2.94336	2.94336	2.94336	0.0606216	1.93938	0.1768	5.65611	1.51768	1.51768	1.51768	1.51768	1.51768	1.51768	1.517684	1.03441	1.03441	0.0671809	0.037912	0.129818	0.166946	0.0371719	0.0289586	0.219675	0.0944823	0.169132	0.0564885	0.084131	0.094137	0.306686	0.0374651	0.0788626	0.0130632	0.0716876	0.271761	0.138396	0.0313217	0.104621	0.217931	0.222591	0.133397	0.0536977	0.0255352	0.718182	1.27863	0.224594	0.000958611	2.568958
12	-1259.398	-1261.694	2.296399	1.28342	0.0920044	0.0920044	0.0920044	0.0920044	0.0920044	0.0920044	2.94336	2.94336	2.94336	2.94336	2.94336	2.94336	0.0606216	1.93938	0.1768	5.65611	1.51768	1.51768	1.51768	1.51768	1.51768	1.51768	1.517684	1.28342	1.28342	0.0465138	0.0298287	0.13599	0.20797	0.0360115	0.026022	0.182273	0.0903358	0.14705	0.0508389	0.0600128	0.0632105	0.306686	0.0520541	0.084497	0.0130632	0.0764328	0.240277	0.123908	0.0267188	0.117678	0.20711	0.234527	0.166726	0.065727	0.0313633	0.718182	1.42627	0.349632	0.000765147	2.568958
13	-1228.665	-1226.702	-1.962996	2.048997	0.0920044	0.0920044	0.0920044	0.0920044	0.0920044	0.0920044	2.94336	2.94336	2.94336	2.94336	2.94336	2.94336	0.0606216	1.93938	0.1768	5.65611	1.51768	1.51768	1.51768	1.51768	1.51768	1.51768	1.517684	2.049	2.049	0.0415014	0.0329603	0.132229	0.163685	0.0454923	0.0195176	0.165707	0.126604	0.134029	0.0376852	0.0722599	0.0687318	0.322173	0.0520541	0.101497	0.0130632	0.0764328	0.285856	0.123908	0.0207684	0.117678	0.235295	0.179523	0.201645	0.0601905	0.0293526	0.686965	1.21536	0.261076	0.000728985	2.568958
14	-1207.173	-1207.512	0.3380767	1.973762	0.00615261	0.00615261	0.00615261	0.00615261	0.00615261	0.00615261	3.02921	3.02921	3.02921	3.02921	3.02921	3.02921	0.00405395	1.99595	0.0450676	22.1889	1.51768	1.51768	1.51768	1.51768	1.51768	1.51768	1.517684	1.97376	1.97376	0.0431356	0.0271176	0.152158	0.1042	0.0389165	0.0142682	0.190736	0.108899	0.135904	0.0545412	0.0722599	0.0675553	0.302811	0.0520541	0.0817085	0.0146375	0.0812867	0.268395	0.148404	0.0184445	0.117678	0.172291	0.170475	0.281442	0.0480031	0.0305603	0.550319	0.917929	0.196897	0.000746772	4.59546
15	-1212.557	-1211.474	-1.083245	1.942626	0.00734783	0.00734783	0.00734783	0.00734783	0.00734783	0.00734783	3.61768	3.61768	3.61768	3.61768	3.61768	3.61768	0.00405395	1.99595	0.0450676	22.1889	1.81251	1.81251	1.81251	1.81251	1.81251	1.81251	1.812512	1.94263	1.94263	0.0397592	0.0332585	0.12114	0.0963301	0.032884	0.0186693	0.147507	0.120464	0.133573	0.0546999	0.0793723	0.0716281	0.267762	0.0477815	0.0810507	0.0159452	0.0817952	0.268395	0.124453	0.0177025	0.117678	0.218477	0.0944722	0.487171	0.0382623	0.04583	0.638607	0.923072	0.213855	0.00110417	4.59546
16	-1194.622	-1191.784	-2.838056	2.125927	0.00734783	0.00734783	0.00734783	0.00734783	0.00734783	0.00734783	3.61768	3.61768	3.61768	3.61768	3.61768	3.61768	0.00405395	1.99595	0.0450676	22.1889	1.81251	1.81251	1.81251	1.81251	1.81251	1.81251	1.812512	2.12593	2.12593	0.037735	0.0412521	0.152055	0.112703	0.0345652	0.0100924	0.129631	0.13868	0.125418	0.0512068	0.0701912	0.0716281	0.267762	0.0588323	0.0955094	0.0166183	0.0554614	0.290003	0.097678	0.0177025	0.11648	0.141669	0.0944722	0.417328	0.036427	0.0412198	0.60228	0.876915	0.440719	0.00156546	4.59546
17	-1191.205	-1186.064	-5.141683	2.610355	0.00734783	0.00734783	0.00734783	0.00734783	0.00734783	0.00734783	3.61768	3.61768	3.61768	3.61768	3.61768	3.61768	0.00405395	1.99595	0.0450676	22.1889	1.81251	1.81251	1.81251	1.81251	1.81251	1.81251	1.812512	2.61035	2.61035	0.0469884	0.0538357	0.175891	0.172877	0.0283663	0.0101354	0.156064	0.165311	0.105646	0.0396087	0.0701912	0.0900667	0.291089	0.063699	0.0874023	0.0183657	0.0597667	0.273906	0.109678	0.0145794	0.11648	0.124646	0.0926245	0.36034	0.0285716	0.0286666	0.517328	0.845258	0.26559	0.00159949	4.59546
18	-1191.49	-1182.826	-8.663144	2.625425	0.00239633	0.00239633	0.00239633	0.00239633	0.00239633	0.00239633	3.59221	3.59221	3.59221	3.59221	3.59221	3.59221	0.00133329	1.99867	0.0258281	38.7175	1.7973	1.7973	1.7973	1.7973	1.7973	1.7973	1.797305	2.62543	2.62543	0.0288447	0.0624234	0.170058	0.236708	0.0275602	0.00394305	0.139631	0.165311	0.0975651	0.0396087	0.0703743	0.0900667	0.306136	0.063699	0.0960294	0.0124074	0.0513605	0.32694	0.117603	0.0149204	0.120718	0.124646	0.0752251	0.269399	0.023154	0.0252186	0.495664	1.08469	0.294048	0.0016243	5.420827
19	-1186.769	-1177.09	-9.678847	2.381775	0.00239094	0.00239094	0.00239094	0.00239094	0.00239094	0.00239094	3.32535	3.32535	3.32535	3.32535	3.32535	3.32535	0.00143697	1.99856	0.0268142	37.2937	1.66387	1.66387	1.66387	1.66387	1.66387	1.66387	1.663872	2.38177	2.38177	0.0188257	0.0654183	0.252585	0.17821	0.0348114	0.00471229	0.138853	0.149508	0.113479	0.0574733	0.0629441	0.0850594	0.252118	0.0830158	0.096235	0.00969606	0.0540813	0.333508	0.116002	0.0190098	0.141186	0.103039	0.082011	0.361389	0.027205	0.0256135	0.507672	1.20512	0.43059	0.00135438	5.365275
