Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	lambda_obscomm	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
35	-1173.547	-1178.517	4.969841	2.21857	0.00727965	0.00727965	0.00727965	0.00727965	0.00727965	0.00727965	3.35314	3.35314	3.35314	3.35314	3.35314	3.35314	0.00433259	1.99567	0.046594	21.462	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.21857	2.21857	0.0288322	0.170454	0.119627	0.02323	0.0585517	0.00506693	0.21462	0.107233	0.115066	0.00671814	0.0425911	0.0862273	0.253378	0.0725053	0.0700401	0.00385428	0.0778362	0.233936	0.110262	0.0106018	0.0884496	0.0295319	0.0278373	0.213997	0.0175069	0.123988	0.181513	0.883208	0.326633	0.000554909	4.54608
36	-1169.171	-1178.476	9.305412	2.001046	0.00727965	0.00727965	0.00727965	0.00727965	0.00727965	0.00727965	3.35314	3.35314	3.35314	3.35314	3.35314	3.35314	0.00433259	1.99567	0.046594	21.462	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.00105	2.00105	0.0350903	0.148364	0.0777724	0.0212906	0.0954053	0.00363287	0.21462	0.0945027	0.10081	0.00661884	0.0705181	0.0697342	0.292473	0.0706625	0.0655249	0.00439769	0.0788421	0.246168	0.0946684	0.0143848	0.0773735	0.0327724	0.0300051	0.212592	0.0174579	0.123988	0.155934	0.55513	0.429632	0.000705872	4.54608
37	-1168.902	-1173.694	4.792585	2.107074	0.00727965	0.00727965	0.00727965	0.00727965	0.00727965	0.00727965	3.35314	3.35314	3.35314	3.35314	3.35314	3.35314	0.00433259	1.99567	0.046594	21.462	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.10707	2.10707	0.0470161	0.144101	0.0817862	0.0346934	0.123591	0.0028613	0.21462	0.1115	0.0867801	0.00672519	0.0601378	0.0607106	0.244753	0.0944022	0.0774788	0.00452923	0.072221	0.246168	0.085803	0.0143848	0.0504711	0.0391442	0.0318589	0.362515	0.0207021	0.140554	0.116357	0.504415	0.753735	0.000968223	4.54608
38	-1169.867	-1174.046	4.178968	2.107074	0.00727965	0.00727965	0.00727965	0.00727965	0.00727965	0.00727965	3.35314	3.35314	3.35314	3.35314	3.35314	3.35314	0.00433259	1.99567	0.046594	21.462	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.10707	2.10707	0.0440791	0.195874	0.158965	0.0322436	0.0831896	0.002903	0.231406	0.142949	0.0809705	0.00562361	0.0627042	0.0710701	0.23404	0.0729644	0.078487	0.00385775	0.0546776	0.274483	0.124001	0.0121345	0.0395865	0.0435258	0.0431469	0.371404	0.0207021	0.079115	0.158015	0.627551	0.552613	0.000679245	4.54608
39	-1170.76	-1170.711	-0.04931269	2.42698	0.00727965	0.00727965	0.00727965	0.00727965	0.00727965	0.00727965	3.35314	3.35314	3.35314	3.35314	3.35314	3.35314	0.00433259	1.99567	0.046594	21.462	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.42698	2.42698	0.0578723	0.323285	0.158965	0.0329817	0.0948171	0.00275856	0.231406	0.0938712	0.060282	0.00608296	0.0830651	0.088083	0.29524	0.0729644	0.0764827	0.00262272	0.0668686	0.258358	0.120037	0.0141951	0.075227	0.0346256	0.0417673	0.327246	0.0207021	0.0815201	0.198859	0.577887	0.552613	0.00078731	4.54608
40	-1171.613	-1171.379	-0.2341432	2.155872	0.00727965	0.00727965	0.00727965	0.00727965	0.00727965	0.00727965	3.35314	3.35314	3.35314	3.35314	3.35314	3.35314	0.00433259	1.99567	0.046594	21.462	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.15587	2.15587	0.0641454	0.407987	0.157817	0.0505351	0.106038	0.00261269	0.201385	0.0831347	0.0669454	0.00724183	0.0728606	0.115251	0.29524	0.0865802	0.0823471	0.00262272	0.0369244	0.302318	0.109223	0.0116864	0.0916892	0.0365391	0.0406194	0.330998	0.0158277	0.0638549	0.197575	0.838412	0.463859	0.00078731	4.54608
41	-1171.574	-1171.526	-0.04798829	2.155872	0.00312712	0.00312712	0.00312712	0.00312712	0.00312712	0.00312712	3.35729	3.35729	3.35729	3.35729	3.35729	3.35729	0.00186115	1.99814	0.0305195	32.7659	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.15587	2.15587	0.0632089	0.374184	0.211905	0.0574689	0.103697	0.00309181	0.18368	0.0831347	0.128654	0.00870631	0.0787061	0.105063	0.245778	0.0779132	0.0774857	0.00211563	0.0391444	0.269001	0.0619297	0.00934218	0.0923909	0.0475363	0.0367912	0.226908	0.0172204	0.0638549	0.232652	0.838412	0.463859	0.000814703	5.173376
42	-1173.752	-1172.914	-0.8381568	2.304746	0.00312712	0.00312712	0.00312712	0.00312712	0.00312712	0.00312712	3.35729	3.35729	3.35729	3.35729	3.35729	3.35729	0.00186115	1.99814	0.0305195	32.7659	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.30475	2.30475	0.0611204	0.244661	0.17087	0.037583	0.0860818	0.00446934	0.248926	0.0795021	0.0991945	0.00945299	0.0852012	0.0822295	0.251035	0.0711645	0.0981864	0.00243999	0.0443133	0.263942	0.0785725	0.00903778	0.12227	0.0544633	0.0307228	0.161714	0.0150255	0.0518999	0.294642	0.868936	0.514672	0.000984154	5.173376
43	-1173.469	-1175.76	2.290569	2.100092	0.00312712	0.00312712	0.00312712	0.00312712	0.00312712	0.00312712	3.35729	3.35729	3.35729	3.35729	3.35729	3.35729	0.00186115	1.99814	0.0305195	32.7659	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.10009	2.10009	0.091349	0.17911	0.110228	0.062952	0.0555276	0.00517768	0.248926	0.0671136	0.120809	0.0106667	0.067347	0.0885837	0.251035	0.0726538	0.0822195	0.00302958	0.0427854	0.300364	0.0648738	0.0149377	0.0974342	0.0425593	0.0342889	0.268942	0.0159576	0.0633015	0.26607	0.879146	0.392986	0.000984154	5.173376
44	-1169.581	-1171.953	2.372585	2.099517	0.00778039	0.00778039	0.00778039	0.00778039	0.00778039	0.00778039	3.35263	3.35263	3.35263	3.35263	3.35263	3.35263	0.00463061	1.99537	0.0481734	20.7583	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.09952	2.09952	0.108566	0.17911	0.119796	0.0472457	0.0555276	0.00459338	0.248926	0.0862928	0.092694	0.0133428	0.0768831	0.0996115	0.265396	0.0883556	0.0850253	0.0030668	0.0422025	0.296775	0.0706728	0.0170093	0.087142	0.0524832	0.043738	0.287533	0.031211	0.0679367	0.261686	0.776138	0.509791	0.00116339	4.496655
45	-1171.546	-1174.638	3.091904	2.029457	0.00778039	0.00778039	0.00778039	0.00778039	0.00778039	0.00778039	3.35263	3.35263	3.35263	3.35263	3.35263	3.35263	0.00463061	1.99537	0.0481734	20.7583	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.02946	2.02946	0.1054	0.232608	0.108472	0.0481169	0.0493116	0.00469642	0.263834	0.120745	0.0949485	0.0111365	0.0697377	0.095748	0.262801	0.0894049	0.0748357	0.00265071	0.0654427	0.24183	0.0685745	0.0179213	0.0766571	0.0556433	0.0553955	0.210179	0.0558795	0.0692733	0.300798	0.876925	0.380132	0.00118823	4.496655
46	-1167.951	-1171.563	3.611578	2.250718	0.0115893	0.0115893	0.0115893	0.0115893	0.0115893	0.0115893	3.34883	3.34883	3.34883	3.34883	3.34883	3.34883	0.00689754	1.9931	0.0588277	16.9988	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.25072	2.25072	0.0976756	0.242488	0.0789102	0.0354884	0.0493116	0.00489652	0.240099	0.146586	0.109314	0.0121369	0.0655612	0.0971298	0.26392	0.080511	0.0869207	0.00390403	0.0654427	0.24183	0.0697495	0.0157199	0.0705241	0.0582224	0.07203	0.161117	0.0692258	0.0446416	0.19364	0.796179	0.412932	0.000970317	4.200422
47	-1168.14	-1170.226	2.086037	2.250718	0.0115893	0.0115893	0.0115893	0.0115893	0.0115893	0.0115893	3.34883	3.34883	3.34883	3.34883	3.34883	3.34883	0.00689754	1.9931	0.0588277	16.9988	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.25072	2.25072	0.0523433	0.281258	0.108249	0.0291707	0.0469211	0.00489652	0.240099	0.142848	0.079229	0.011871	0.0752116	0.094694	0.26392	0.080511	0.096987	0.00370499	0.0712805	0.252474	0.0599836	0.0169254	0.101753	0.0574929	0.097173	0.152994	0.0547511	0.0293482	0.144813	1.07276	0.33145	0.000967447	4.200422
48	-1164.08	-1169.559	5.478616	2.140586	0.0144075	0.0144075	0.0144075	0.0144075	0.0144075	0.0144075	3.34601	3.34601	3.34601	3.34601	3.34601	3.34601	0.00857484	1.99143	0.0656192	15.2394	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.14059	2.14059	0.0395148	0.269034	0.0788751	0.0277487	0.0548382	0.0050093	0.218969	0.115746	0.0848959	0.0101177	0.0752116	0.0880591	0.24983	0.093673	0.0774002	0.00388614	0.0596822	0.241789	0.0714142	0.0173585	0.0973976	0.0574929	0.0957674	0.196603	0.0346161	0.0293482	0.141684	0.952206	0.33145	0.00117072	4.03844
49	-1173.437	-1176.803	3.365974	2.140586	0.0144075	0.0144075	0.0144075	0.0144075	0.0144075	0.0144075	3.34601	3.34601	3.34601	3.34601	3.34601	3.34601	0.00857484	1.99143	0.0656192	15.2394	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.14059	2.14059	0.041188	0.188427	0.103617	0.0257083	0.0492234	0.00411166	0.208795	0.113504	0.0848959	0.0099945	0.0541823	0.140379	0.24983	0.0855055	0.106735	0.00507006	0.0547172	0.269895	0.0813033	0.0104786	0.108568	0.0786279	0.0584564	0.209303	0.0300689	0.0304355	0.154929	1.16443	0.33145	0.00100724	4.03844
50	-1165.86	-1169.968	4.108407	2.175054	0.00914677	0.00914677	0.00914677	0.00914677	0.00914677	0.00914677	3.35127	3.35127	3.35127	3.35127	3.35127	3.35127	0.00544384	1.99456	0.0522432	19.1413	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.17505	2.17505	0.0430285	0.15367	0.136961	0.024993	0.0532083	0.00373504	0.194386	0.126487	0.117237	0.0079368	0.05869	0.100847	0.24983	0.0855055	0.12229	0.00825867	0.0529467	0.289772	0.0760837	0.0162174	0.090726	0.0854852	0.0642253	0.232641	0.0288901	0.0283728	0.0800797	1.01609	0.324759	0.00130405	4.376414
51	-1167.32	-1168.295	0.97448	2.175054	0.00914677	0.00914677	0.00914677	0.00914677	0.00914677	0.00914677	3.35127	3.35127	3.35127	3.35127	3.35127	3.35127	0.00544384	1.99456	0.0522432	19.1413	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.17505	2.17505	0.0347209	0.184461	0.119178	0.0268497	0.0611211	0.00324856	0.223875	0.103135	0.0835644	0.00964733	0.0747461	0.105534	0.269839	0.0930245	0.084437	0.00967136	0.0614734	0.295585	0.0617019	0.0170473	0.090726	0.11697	0.0563008	0.222549	0.0288157	0.0373446	0.10184	1.3361	0.307032	0.00130405	4.376414
52	-1166.863	-1168.98	2.117501	2.175054	0.0288786	0.0288786	0.0288786	0.0288786	0.0288786	0.0288786	3.33154	3.33154	3.33154	3.33154	3.33154	3.33154	0.0171875	1.98281	0.0931035	10.7407	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.17505	2.17505	0.0364699	0.156171	0.138283	0.0305487	0.0913461	0.00303068	0.221231	0.0998541	0.121562	0.00871841	0.0723826	0.095617	0.269839	0.0994611	0.084437	0.00712343	0.0645271	0.272083	0.0630437	0.0167353	0.0822618	0.177529	0.0569237	0.315696	0.0264702	0.0313312	0.0974158	0.974384	0.539887	0.00169941	3.519762
53	-1167.613	-1164.606	-3.006957	2.267166	0.00439372	0.00439372	0.00439372	0.00439372	0.00439372	0.00439372	3.35602	3.35602	3.35602	3.35602	3.35602	3.35602	0.00261499	1.99739	0.0361829	27.6373	1.68021	1.68021	1.68021	1.68021	1.68021	1.68021	1.680208	2.26717	2.26717	0.0250489	0.182291	0.142941	0.0250369	0.0913461	0.00370126	0.178787	0.145274	0.105053	0.00963273	0.0676928	0.0928855	0.235323	0.0838967	0.084437	0.0100739	0.0567948	0.263031	0.0807054	0.0146201	0.105724	0.168228	0.0748404	0.458497	0.0267685	0.0239692	0.0974158	1.05351	0.557916	0.00310126	4.921005
54	-1170.033	-1169.7	-0.3330052	2.120936	0.00427671	0.00427671	0.00427671	0.00427671	0.00427671	0.00427671	3.26665	3.26665	3.26665	3.26665	3.26665	3.26665	0.00261499	1.99739	0.0361829	27.6373	1.63546	1.63546	1.63546	1.63546	1.63546	1.63546	1.635462	2.12094	2.12094	0.0252608	0.224411	0.186075	0.0303011	0.0827158	0.00335594	0.187766	0.144497	0.115143	0.00926426	0.077704	0.0990954	0.235323	0.0838967	0.0796073	0.00851053	0.0681475	0.251861	0.0870267	0.0140323	0.0899832	0.168132	0.0622277	0.541837	0.0278209	0.0273103	0.105598	0.785125	0.496122	0.00338693	4.921005
55	-1170.534	-1167.788	-2.745543	2.156422	0.00431306	0.00431306	0.00431306	0.00431306	0.00431306	0.00431306	3.29441	3.29441	3.29441	3.29441	3.29441	3.29441	0.00261499	1.99739	0.0361829	27.6373	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	2.15642	2.15642	0.0252997	0.26572	0.199212	0.03084	0.0819956	0.00257455	0.17757	0.144497	0.093623	0.00978629	0.0525532	0.10115	0.233426	0.0838967	0.070313	0.0102458	0.0780446	0.297488	0.0796718	0.0142193	0.075038	0.111685	0.0694036	0.518665	0.0249518	0.0268295	0.126508	0.908103	0.635205	0.00386297	4.921005
56	-1168.789	-1171.72	2.930727	2.042362	0.0177815	0.0177815	0.0177815	0.0177815	0.0177815	0.0177815	3.28094	3.28094	3.28094	3.28094	3.28094	3.28094	0.0107809	1.98922	0.0736182	13.5836	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	2.04236	2.04236	0.0257024	0.211812	0.167173	0.0321653	0.0771556	0.00257455	0.222775	0.144497	0.0967044	0.0076267	0.0543556	0.10115	0.260346	0.0921296	0.0957308	0.0111515	0.0848675	0.258331	0.0796718	0.0142193	0.0812099	0.0992873	0.0694036	0.457074	0.0285174	0.0304333	0.157657	0.72204	0.545681	0.003905	3.867905
57	-1170.787	-1169.524	-1.262888	2.360954	0.0177815	0.0177815	0.0177815	0.0177815	0.0177815	0.0177815	3.28094	3.28094	3.28094	3.28094	3.28094	3.28094	0.0107809	1.98922	0.0736182	13.5836	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	2.36095	2.36095	0.0275518	0.258698	0.175789	0.0215951	0.0724459	0.00257455	0.263658	0.0995031	0.100377	0.011598	0.0711912	0.0724866	0.299127	0.10676	0.0828446	0.0129355	0.0676337	0.22548	0.0962561	0.0169016	0.0846098	0.137578	0.0694036	0.432423	0.0342405	0.0386253	0.157657	0.790512	0.546502	0.00437492	3.867905
58	-1171.14	-1171.58	0.4400947	2.21141	0.0177815	0.0177815	0.0177815	0.0177815	0.0177815	0.0177815	3.28094	3.28094	3.28094	3.28094	3.28094	3.28094	0.0107809	1.98922	0.0736182	13.5836	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	2.21141	2.21141	0.0270979	0.234408	0.187647	0.0214609	0.0588294	0.00267188	0.263658	0.0974697	0.113304	0.0146611	0.0703243	0.0735933	0.281162	0.105813	0.0726905	0.0122498	0.0757518	0.22548	0.107323	0.0235682	0.104708	0.150733	0.0671807	0.383103	0.0299215	0.0362144	0.179316	0.790512	0.527544	0.0038194	3.867905
59	-1170.793	-1175.036	4.242973	2.146979	0.0177815	0.0177815	0.0177815	0.0177815	0.0177815	0.0177815	3.28094	3.28094	3.28094	3.28094	3.28094	3.28094	0.0107809	1.98922	0.0736182	13.5836	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	2.14698	2.14698	0.0285438	0.248179	0.207153	0.0229782	0.0627554	0.004911	0.218095	0.106001	0.0951772	0.0146611	0.0617167	0.0966363	0.241984	0.0948142	0.0657282	0.00731195	0.080529	0.199022	0.0746715	0.0238424	0.112682	0.147845	0.0856155	0.383103	0.0321842	0.0356875	0.154005	0.646543	0.428261	0.00471999	3.867905
60	-1170.44	-1171.312	0.8721021	2.069855	0.00353049	0.00353049	0.00353049	0.00353049	0.00353049	0.00353049	3.29519	3.29519	3.29519	3.29519	3.29519	3.29519	0.00214052	1.99786	0.0327323	30.5508	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	2.06985	2.06985	0.0285438	0.36025	0.147564	0.0344217	0.0550426	0.00494152	0.253701	0.104929	0.104254	0.0133333	0.0617167	0.101673	0.241984	0.0948142	0.0731768	0.00736691	0.080529	0.213401	0.0670697	0.0167157	0.110142	0.176572	0.193358	0.29362	0.0342887	0.0447976	0.14098	0.569836	0.575835	0.00541729	5.069598
61	-1169.438	-1168.928	-0.5100433	2.379975	0.00353049	0.00353049	0.00353049	0.00353049	0.00353049	0.00353049	3.29519	3.29519	3.29519	3.29519	3.29519	3.29519	0.00214052	1.99786	0.0327323	30.5508	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	1.64936	2.37998	2.37998	0.0245763	0.406601	0.137584	0.0352805	0.0550426	0.00494152	0.291207	0.095415	0.132316	0.0120181	0.0581939	0.0886979	0.302551	0.0948142	0.0828896	0.00565144	0.052323	0.265735	0.0769681	0.0159379	0.110142	0.129062	0.187865	0.29176	0.0330446	0.0360237	0.147303	0.334616	0.541253	0.00345809	5.069598
62	-1169.733	-1170.255	0.5224565	2.252641	0.00515389	0.00515389	0.00515389	0.00515389	0.00515389	0.00515389	3.53357	3.53357	3.53357	3.53357	3.53357	3.53357	0.00291286	1.99709	0.038191	26.1842	1.76936	1.76936	1.76936	1.76936	1.76936	1.76936	1.769361	2.25264	2.25264	0.0244486	0.398278	0.137584	0.0361019	0.0686823	0.00390324	0.291207	0.0916653	0.121236	0.0193501	0.0613426	0.0980768	0.260181	0.0894826	0.0799692	0.0040604	0.0351242	0.283579	0.0801424	0.0225192	0.0702962	0.0934972	0.130336	0.346821	0.043653	0.0369611	0.121458	0.428002	0.619481	0.00394271	4.840927
63	-1169.713	-1171.834	2.121439	2.325331	0.00240517	0.00240517	0.00240517	0.00240517	0.00240517	0.00240517	3.53632	3.53632	3.53632	3.53632	3.53632	3.53632	0.00135935	1.99864	0.0260794	38.3444	1.76936	1.76936	1.76936	1.76936	1.76936	1.76936	1.769361	2.32533	2.32533	0.0178732	0.361994	0.16228	0.039626	0.0671804	0.00316641	0.213903	0.0877205	0.0943843	0.0193501	0.0553705	0.0980768	0.260181	0.105746	0.0818699	0.005175	0.0364595	0.23622	0.104229	0.0312145	0.0535498	0.10282	0.138281	0.365575	0.0293907	0.0439006	0.12933	0.3289	0.468392	0.00320364	5.406472
64	-1168.6	-1171.028	2.427899	2.240193	0.003322	0.003322	0.003322	0.003322	0.003322	0.003322	3.5354	3.5354	3.5354	3.5354	3.5354	3.5354	0.00187751	1.99812	0.0306535	32.6227	1.76936	1.76936	1.76936	1.76936	1.76936	1.76936	1.769361	2.24019	2.24019	0.0146784	0.302581	0.185155	0.0431317	0.0609277	0.00215943	0.187291	0.119484	0.098037	0.0160405	0.0554919	0.0979036	0.28038	0.0794487	0.0734143	0.00385192	0.064482	0.268337	0.104229	0.0358245	0.0591446	0.130174	0.176666	0.408246	0.0419447	0.0556277	0.13139	0.377564	0.363929	0.00400193	5.16688
65	-1166.779	-1166.986	0.2068836	2.490935	0.00603181	0.00603181	0.00603181	0.00603181	0.00603181	0.00603181	3.53269	3.53269	3.53269	3.53269	3.53269	3.53269	0.00340903	1.99659	0.041321	24.2008	1.76936	1.76936	1.76936	1.76936	1.76936	1.76936	1.769361	2.49093	2.49093	0.0275725	0.432586	0.19734	0.0492441	0.0607784	0.00274475	0.196325	0.099257	0.098037	0.0160405	0.0718064	0.0951478	0.29713	0.0969399	0.0742902	0.00581082	0.0465665	0.314427	0.0813407	0.0324224	0.0555301	0.130174	0.152422	0.359739	0.0366764	0.0556277	0.0918186	0.365197	0.371275	0.00570794	4.72414
66	-1175.4	-1176.046	0.6468857	2.329914	0.00255051	0.00255051	0.00255051	0.00255051	0.00255051	0.00255051	3.53617	3.53617	3.53617	3.53617	3.53617	3.53617	0.00144149	1.99856	0.0268564	37.2351	1.76936	1.76936	1.76936	1.76936	1.76936	1.76936	1.769361	2.32991	2.32991	0.0276654	0.323409	0.244561	0.0405265	0.0664667	0.00179518	0.196325	0.140118	0.133221	0.0146022	0.0902761	0.0873627	0.29713	0.132022	0.0615321	0.00581082	0.048427	0.25397	0.0848061	0.0316033	0.0516817	0.115284	0.17431	0.439071	0.0310739	0.0923147	0.0849797	0.309606	0.326345	0.00600898	5.362947
67	-1166.609	-1168.436	1.826831	2.210053	0.0037572	0.0037572	0.0037572	0.0037572	0.0037572	0.0037572	3.53496	3.53496	3.53496	3.53496	3.53496	3.53496	0.00212348	1.99788	0.0326017	30.6733	1.76936	1.76936	1.76936	1.76936	1.76936	1.76936	1.769361	2.21005	2.21005	0.0282064	0.437064	0.262565	0.0390175	0.081887	0.00150891	0.180157	0.138525	0.126732	0.0100244	0.0902761	0.0927157	0.262625	0.0797018	0.0787551	0.00358535	0.0497728	0.297241	0.0845651	0.0291561	0.0346522	0.0944497	0.148429	0.331531	0.0240569	0.0983992	0.0798171	0.43085	0.333208	0.00593978	5.075529
68	-1166.279	-1165.017	-1.262035	2.291953	0.0037572	0.0037572	0.0037572	0.0037572	0.0037572	0.0037572	3.53496	3.53496	3.53496	3.53496	3.53496	3.53496	0.00212348	1.99788	0.0326017	30.6733	1.76936	1.76936	1.76936	1.76936	1.76936	1.76936	1.769361	2.29195	2.29195	0.0322122	0.621641	0.299036	0.0370976	0.0414804	0.00121328	0.219373	0.138525	0.0937233	0.0104257	0.0822905	0.0835121	0.247405	0.071708	0.0719401	0.00501857	0.0697044	0.279859	0.08389	0.0265404	0.0259483	0.0649528	0.148429	0.234221	0.0208923	0.098607	0.0903983	0.608516	0.400743	0.00640221	5.075529
69	-1177.396	-1171.163	-6.232835	2.581814	0.000680553	0.000680553	0.000680553	0.000680553	0.000680553	0.000680553	3.53804	3.53804	3.53804	3.53804	3.53804	3.53804	0.000384632	1.99962	0.0138691	72.1025	1.76936	1.76936	1.76936	1.76936	1.76936	1.76936	1.769361	2.58181	2.58181	0.0331959	0.395954	0.44345	0.0398565	0.0348753	0.00143776	0.175524	0.138525	0.0770875	0.0105096	0.0941161	0.123516	0.247405	0.071708	0.0736262	0.00522907	0.0752121	0.249759	0.0695932	0.0265404	0.0230967	0.0456808	0.151105	0.243609	0.0208923	0.123783	0.0596824	0.865024	0.309904	0.0086914	6.342705
70	-1172.399	-1173.996	1.596971	2.326978	0.000680553	0.000680553	0.000680553	0.000680553	0.000680553	0.000680553	3.53804	3.53804	3.53804	3.53804	3.53804	3.53804	0.000384632	1.99962	0.0138691	72.1025	1.76936	1.76936	1.76936	1.76936	1.76936	1.76936	1.769361	2.32698	2.32698	0.0454648	0.383107	0.393989	0.032246	0.0278867	0.00143776	0.157207	0.109162	0.0826294	0.0111432	0.0642483	0.0974355	0.304618	0.0690958	0.0693368	0.00717282	0.0752121	0.249759	0.0556211	0.0244195	0.0173894	0.0380049	0.162094	0.223932	0.0165506	0.0792842	0.104009	0.407625	0.309904	0.00603744	6.342705
71	-1174.654	-1172.332	-2.321173	2.440778	0.00216654	0.00216654	0.00216654	0.00216654	0.00216654	0.00216654	3.53655	3.53655	3.53655	3.53655	3.53655	3.53655	0.00122448	1.99878	0.024751	40.4024	1.76936	1.76936	1.76936	1.76936	1.76936	1.76936	1.769361	2.44078	2.44078	0.0519593	0.483955	0.403602	0.0313396	0.0220306	0.00161321	0.1488	0.107618	0.100871	0.0134263	0.070626	0.112031	0.304618	0.0851169	0.056218	0.00732465	0.0812323	0.263785	0.0544403	0.0271219	0.0241544	0.0326545	0.177606	0.233292	0.0138985	0.0727614	0.118582	0.397749	0.604113	0.00498511	5.48398
72	-1165.16	-1166.406	1.246072	2.144711	0.00317829	0.00317829	0.00317829	0.00317829	0.00317829	0.00317829	3.3787	3.3787	3.3787	3.3787	3.3787	3.3787	0.0018796	1.99812	0.0306706	32.6045	1.69094	1.69094	1.69094	1.69094	1.69094	1.69094	1.690941	2.14471	2.14471	0.0519547	0.345472	0.51086	0.0221743	0.0205433	0.0013932	0.195935	0.12977	0.104774	0.0129612	0.0736004	0.097462	0.260702	0.106344	0.0718123	0.0080449	0.0714926	0.262431	0.0687612	0.0228306	0.0248727	0.0329744	0.220708	0.212405	0.0201541	0.0706485	0.11693	0.448494	0.481667	0.00495124	5.166055
73	-1166.963	-1168.488	1.52495	2.208984	0.00317829	0.00317829	0.00317829	0.00317829	0.00317829	0.00317829	3.3787	3.3787	3.3787	3.3787	3.3787	3.3787	0.0018796	1.99812	0.0306706	32.6045	1.69094	1.69094	1.69094	1.69094	1.69094	1.69094	1.690941	2.20898	2.20898	0.0552156	0.345472	0.465597	0.0257967	0.0325752	0.000964807	0.199966	0.0877672	0.140423	0.0119236	0.0736072	0.111679	0.233811	0.081455	0.0728485	0.00920674	0.0686186	0.290177	0.0706551	0.0228306	0.0213361	0.0201909	0.260478	0.212405	0.0201541	0.0563368	0.10261	0.441659	0.438146	0.00404641	5.166055
74	-1170.87	-1169.894	-0.9761009	2.169144	0.0168858	0.0168858	0.0168858	0.0168858	0.0168858	0.0168858	3.37656	3.37656	3.37656	3.37656	3.37656	3.37656	0.00995202	1.99005	0.070717	14.1409	1.69672	1.69672	1.69672	1.69672	1.69672	1.69672	1.696722	2.16914	2.16914	0.0630851	0.416542	0.461461	0.0171501	0.0410131	0.000707812	0.199966	0.128547	0.144486	0.0119236	0.069335	0.113055	0.28297	0.0906552	0.0705933	0.00657995	0.0686186	0.329383	0.0873056	0.0292956	0.0184574	0.031641	0.170245	0.249142	0.0251493	0.0647943	0.181884	0.422806	0.726203	0.00404641	3.927516
75	-1168.861	-1168.592	-0.2690993	2.198847	0.0152456	0.0152456	0.0152456	0.0152456	0.0152456	0.0152456	3.3782	3.3782	3.3782	3.3782	3.3782	3.3782	0.00898531	1.99101	0.0671783	14.8857	1.69672	1.69672	1.69672	1.69672	1.69672	1.69672	1.696722	2.19885	2.19885	0.0408784	0.288519	0.369229	0.0151325	0.0396678	0.000769433	0.172769	0.162406	0.109351	0.0126371	0.0787635	0.112318	0.244647	0.0906552	0.0705933	0.00724417	0.0606985	0.323084	0.089612	0.0310339	0.0284768	0.0248598	0.208021	0.249142	0.016691	0.0571249	0.234352	0.536839	0.723934	0.00527619	4.003625
